"FilingID","Full Legal Name","CIK Number"
"721310","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"718310","EDELMAN FINANCIAL GROUP INC.","1071341"
"718322","THE EDELMAN FINANCIAL GROUP INC.","1071341"
"718316","THE EDELMAN FINANCIAL GROUP INC.","1071341"
"721598","CREDIT SUISSE GROUP AG","1159510"
"721598","GENERAL ELECTRIC COMPANY","40545"
"698584","BLACKROCK, INC.","1364742"
"707241","BLACKROCK, INC.","1364742"
"698581","BLACKROCK, INC.","1364742"
"698582","BLACKROCK, INC.","1364742"
"717658","CREDIT SUISSE GROUP AG","1159510"
"697307","SWISS RE LIMITED","1519921"
"706167","INVESCO LTD.","914208"
"720039","JONES LANG LASALLE INCORPORATED","1037956"
"693101","JPMORGAN CHASE & CO.","19617"
"716456","UBS AG","1114446"
"717058","THE ROYAL BANK OF SCOTLAND GROUP","844150"
"718466","WILMINGTON SAVINGS FUND SOCIETY, FSB AS TRUSTEE","828944"
"722937","PRINCIPAL FINANCIAL GROUP INC","1126328"
"690466","DEUTSCHE BANK AG","948046"
"690379","DEUTSCHE BANK AG","948046"
"703875","SAFEGUARD SCIENTIFCS, INC.","86115"
"716194","BARCLAYS PLC","312069"
"725184","MVC CAPITAL, INC.","1099941"
"723096","INSTITUTIONAL FINANCIAL MARKETS, INC.","1270436"
"717803","N/A","12345678"
"723565","KBW, INC.","1063494"
"713473","ORIX CORPORATION","1070304"
"720598","GLEACHER & COMPANY, INC.","782842"
"716148","BARCLAYS PLC","312069"
"718499","HSBC HOLDINGS PLC","1089113"
"712798","STIFEL FINANCIAL CORP","720672"
"707973","AFFILIATED MANAGERS GROUP, INC.","1004434"
"723521","ALLEGHANY CORPORATION","775368"
"723521","MARSH & MCLENNAN COMPANIES, INC.","62709"
"722760","THE CARLYLE GROUP, L.P.","1527166"
"726687","CITIGROUP INC.","831001"
"726687","MORGAN STANLEY","895421"
"726484","EVERCORE PARTNERS INC.","1360901"
"715450","CBRE GROUP, INC.","1138118"
"718186","CBRE GROUP, INC","1138118"
"718241","CBRE GROUP, INC.","1138118"
"718277","CBRE GROUP, INC.","1138118"
"724575","BROOKFIELD ASSET MANAGEMENT INC.","10010085"
"725892","VIRGINIA NATIONAL BANK","23616"
"726683","BARCLAYS PLC","312069"
"727569","STIFEL FINANCIAL CORP.","720672"
"704402","JPMORGAN CHASE & CO.","19517"
"728695","HSBC HOLDINGS PLC","1089113"
"729244","EVERCORE PARTNERS INC.","1360901"
"689733","JPMORGAN CHASE & CO.","19617"
"730722","STIFEL FINANCIAL CORP.","720672"
