"FilingID","ReferenceID","Name of Auditing Firm","City","State","Country","Independent","PCAOB Registered","PCAOB Inspected"
"874001","60417","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","60259","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","60257","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","59967","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","49698","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","49692","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19679","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19668","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19648","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19642","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19640","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19633","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19199","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19196","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19193","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19190","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19187","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19179","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19177","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19174","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19159","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19170","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19153","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19150","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19149","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19145","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19141","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","19102","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","23369","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","23368","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","23354","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","23331","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","23322","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","23321","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","23320","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","71360","KPMG AUDIT","PARIS","","France","Y","Y","Y"
"874001","71359","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","71358","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"874001","71355","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","Y","Y","Y"
"896800","30719","ERNST & YOUNG","PORT LOUIS","","Mauritius","Y","Y","Y"
"896800","30704","ERNST & YOUNG","PORT LOUIS","","Mauritius","Y","Y","Y"
"898793","38658","KPMG, LLP","BOSTON","Massachusetts","United States","Y","Y","Y"
"898793","38655","KPMG, LLP","BOSTON","Massachusetts","United States","Y","Y","Y"
"887829","44620","BAKER TILLY","MILWAUKEE","Wisconsin","United States","Y","Y","Y"
"898813","65112","KPMG","GEORGE TOWN","","Cayman Islands","Y","Y","Y"
"887797","48209","FELD SCHUMACHER & COMPANY LLP","WEST ALLIS","Wisconsin","United States","Y","Y","Y"
"893755","22308","ERNST & YOUNG, LLP","STAMFORD","Connecticut","United States","Y","Y","Y"
"893916","17542","MCGLADREY LLP","CHICAGO","Illinois","United States","Y","Y","Y"
"897562","30120","ROTENBERG MERIL SOLOMON BERTIGER & GUTTILLA, P.C.","SADDLE BROOK","New Jersey","United States","Y","Y","Y"
"897562","30085","ROTENBERG MERIL SOLOMON BERTIGER & GUTTILLA, P.C.","SADDLE BROOK","New Jersey","United States","Y","Y","Y"
"893124","60806","MCGLADREY LLP","BOSTON","Massachusetts","United States","Y","Y","Y"
"898855","40255","MITCHELL & TITUS, LLP","NEW YORK","New York","United States","Y","Y","Y"
"898855","40201","MITCHELL & TITUS, LLP","NEW YORK","New York","United States","Y","Y","Y"
"898855","40173","MITCHELL & TITUS, LLP","NEW YORK","New York","United States","Y","Y","Y"
"876299","40380","DELOITTE TOUCHE TOHMATSU","HONG KONG","","Hong kong","Y","Y","Y"
"876299","40458","DELOITTE TOUCHE TOHMATSU","HONG KONG","","Hong kong","Y","Y","Y"
"876299","40434","DELOITTE TOUCHE TOHMATSU","HONG KONG","","Hong kong","Y","Y","Y"
"892018","73189","PRICEWATERHOUSECOOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","73188","PRICEWATERHOUSECOOPERS AG","ZURICH","","Switzerland","Y","Y","Y"
"892018","73188","PRICEWATERHOUSECOOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","73187","PRICEWATERHOUSECOOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","73186","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","73183","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","73182","PRICEWATERHOUSECOOPERS AG","ZURICH","","Switzerland","Y","Y","Y"
"892018","73182","PRICEWATERHOUSECOOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","50886","PRICEWATERHOUSECOOPERS AG","ZURICH","","Switzerland","Y","Y","Y"
"892018","59719","""PRICEWATERHOUSECOOPERS, SOCIÉTÉ COOPÉRATIVE","LUXEMBOURG","","Luxembourg","Y","Y","Y"
"892018","59717","PRICEWATERHOUSECOOPERS, SOCIÉTÉ COOPÉRATIVE","LUXEMBOURG","","Luxembourg","Y","Y","Y"
"892018","59716","PRICEWATERHOUSECOOPERS, SOCIÉTÉ COOPÉRATIVE","LUXEMBOURG","","Luxembourg","Y","Y","Y"
"892018","59715","""PRICEWATERHOUSECOOPERS, SOCIÉTÉ COOPÉRATIVE","LUXEMBOURG","","Luxembourg","Y","Y","Y"
"892018","59713","""PRICEWATERHOUSECOOPERS, SOCIÉTÉ COOPÉRATIVE","LUXEMBOURG","","Luxembourg","Y","Y","Y"
"892018","59711","PRICEWATERHOUSECOOPERS, SOCIÉTÉ COOPÉRATIVE","LUXEMBOURG","","Luxembourg","Y","Y","Y"
"892018","59709","""PRICEWATERHOUSECOOPERS, SOCIÉTÉ COOPÉRATIVE","LUXEMBOURG","","Luxembourg","Y","Y","Y"
"892018","25909","PRICEWATERHOUSECOOPERS AG","ZURICH","","Switzerland","Y","Y","Y"
"892018","25198","PRICEWATERHOUSECOOPERS AG","ZURICH","","Switzerland","Y","Y","Y"
"892018","25978","PRICEWATERHOUSECOOPERS AG","ZURICH","","Switzerland","Y","Y","Y"
"892018","25960","PRICEWATERHOUSECOOPERS AG","ZURICH","","Switzerland","Y","Y","Y"
"892018","26142","PRICEWATERHOUSECOOPERS AG","ZURICH","","Switzerland","Y","Y","Y"
"892018","25961","PRICEWATERHOUSECOOPERS AG","ZURICH","","Switzerland","Y","Y","Y"
"892018","25249","PRICEWATERHOUSECOOPERS AG","ZURICH","","Switzerland","Y","Y","Y"
"892018","26778","PRICEWATERHOUSECOOPERS AG","ZURICH","","Switzerland","Y","Y","Y"
"892018","26864","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","26829","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","26803","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","26791","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","26784","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","26778","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","26768","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","26149","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","26142","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","26110","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","26086","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","26085","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","26028","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","26024","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","25978","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","25942","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","25941","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","25961","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","25960","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","25909","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","25907","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","25249","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","25244","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","25091","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","25198","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
