"FilingID","ReferenceID","Foreign Regulatory Authority"
1058323,61512,"Other - CZECH REPUBLIC - CESKA NARODNI BANKA"
1058323,61512,"Bahrain - Central Bank of Bahrain"
1058323,61512,"Norway - The Banking, Insurance and Securities Commission"
1058323,61512,"Italy - National Stock Exchange Commission"
1058323,61512,"Hong Kong - Securities and Futures Commission"
1058323,61512,"Austria - Financial Market Authority"
1058323,61512,"Germany - German Federal Financial Supervisory Agency"
1058323,61512,"France - Financial Markets Authority"
1058323,61512,"Denmark - Danish Financial Supervisory Authority"
1045429,4729,"Cayman Islands - Cayman Islands Monetary Authority"
1044369,179943,"Cayman Islands - Cayman Islands Monetary Authority"
1055634,179968,"Cayman Islands - Cayman Islands Monetary Authority"
1045608,179575,"Denmark - Danish Financial Supervisory Authority"
1043504,68661,"Cayman Islands - Cayman Islands Monetary Authority"
1048429,55596,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1047692,166896,"Cayman Islands - Cayman Islands Monetary Authority"
1043771,158920,"Guernsey - Guernsey Financial Services Commission"
1043771,34048,"Guernsey - Guernsey Financial Services Commission"
1043771,24533,"Guernsey - Guernsey Financial Services Commission"
1043771,24490,"Guernsey - Guernsey Financial Services Commission"
1043771,24234,"Guernsey - Guernsey Financial Services Commission"
1043771,24099,"Guernsey - Guernsey Financial Services Commission"
1043771,24082,"Guernsey - Guernsey Financial Services Commission"
1043771,24505,"Guernsey - Guernsey Financial Services Commission"
1043771,24497,"Guernsey - Guernsey Financial Services Commission"
1043771,24539,"Guernsey - Guernsey Financial Services Commission"
1043771,24529,"Guernsey - Guernsey Financial Services Commission"
1043771,24526,"Guernsey - Guernsey Financial Services Commission"
1043771,34010,"Guernsey - Guernsey Financial Services Commission"
1043771,55001,"Guernsey - Guernsey Financial Services Commission"
1043771,54999,"Guernsey - Guernsey Financial Services Commission"
1043771,178355,"Guernsey - Guernsey Financial Services Commission"
1049591,173832,"United Kingdom - Financial Conduct Authority"
1053988,178585,"Cayman Islands - Cayman Islands Monetary Authority"
1058379,39353,"Canada - Yukon Territories, Registrar of Securities"
1058379,39353,"Canada - Saskatchewan Financial Services Commission"
1058379,39353,"Canada - Prince Edward Island, Securities Office"
1058379,39353,"Canada - Ontario Securities Commission"
1058379,39353,"Canada - Nunavut, Registrar of Securities"
1058379,39353,"Canada - Nova Scotia Securities Commission"
1058379,39353,"Canada - Northwest Territories, Office of the Registrar of Securities"
1058379,39353,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1058379,39353,"Canada - Manitoba Securities Commission"
1058379,39353,"Canada - New Brunswick Securities Commission"
1058379,39353,"Canada - British Columbia Securities Commission"
1058379,39353,"Canada - Alberta Securities Commission"
1058379,40207,"Canada - Yukon Territories, Registrar of Securities"
1058379,40207,"Canada - Saskatchewan Financial Services Commission"
1058379,40207,"Canada - Prince Edward Island, Securities Office"
1058379,40207,"Canada - Ontario Securities Commission"
1058379,40207,"Canada - Nunavut, Registrar of Securities"
1058379,40207,"Canada - Nova Scotia Securities Commission"
1058379,40207,"Canada - Northwest Territories, Office of the Registrar of Securities"
1058379,40207,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1058379,40207,"Canada - New Brunswick Securities Commission"
1058379,40207,"Canada - Manitoba Securities Commission"
1058379,40207,"Canada - British Columbia Securities Commission"
1058379,40207,"Canada - Alberta Securities Commission"
1058379,40198,"Canada - Yukon Territories, Registrar of Securities"
1058379,40198,"Canada - Saskatchewan Financial Services Commission"
1058379,40198,"Canada - Prince Edward Island, Securities Office"
1058379,40198,"Canada - Ontario Securities Commission"
1058379,40198,"Canada - Nunavut, Registrar of Securities"
1058379,40198,"Canada - Nova Scotia Securities Commission"
1058379,40198,"Canada - Northwest Territories, Office of the Registrar of Securities"
1058379,40198,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1058379,40198,"Canada - New Brunswick Securities Commission"
1058379,40198,"Canada - Manitoba Securities Commission"
1058379,40198,"Canada - British Columbia Securities Commission"
1058379,40198,"Canada - Alberta Securities Commission"
1049398,27067,"Jersey - Jersey Financial Services Commission"
1056592,6853,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1057581,67715,"Cayman Islands - Cayman Islands Monetary Authority"
