"FilingID","ReferenceID","SubreferenceID","Related Person","Name of Marketer","SEC Number","CRD Number","City","State","Country","Websites"
"954020","66562","33804","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","66562","33802","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","66561","33801","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","66561","33800","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","66560","33798","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","66558","33792","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","66558","33791","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","66560","33796","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","66559","33795","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","66559","33794","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","66556","33786","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","66556","33785","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","44147","21633","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","44147","21631","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","167645","61489","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","44150","21637","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","167645","61488","N","SCARSDALE EQUITIES LLC","8-66845","134602","NEW YORK","New York","United States","N"
"954020","44150","21635","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","43959","21560","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","43959","21559","N","HEDGECO SECURITIES, LLC","8-67470","142498","NEW YORK","New York","United States","N"
"954020","43959","21558","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","56600","28325","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","56600","28323","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","56599","28322","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","56599","28321","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","56597","28316","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","56597","28314","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","56596","28313","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","167645","61487","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","56596","28311","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","167644","61486","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","167644","61485","N","SCARSDALE EQUITIES LLC","8-66845","134602","NEW YORK","New York","United States","N"
"954020","167654","61493","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","56590","28300","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","167654","61492","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","167626","61474","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","167626","61473","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","56590","28298","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","66579","33817","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","66579","61490","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"955891","43409","21420","N","21ST CENTURY INVESTMENTS INC.","","","TORONTO","","Canada","N"
"955891","43409","21419","N","ESC CONSULTING INC.","","","GENEVA","","Switzerland","N"
"955891","43409","21418","N","MODERN CAPITAL LLP","","","LONDON","","United Kingdom","N"
"955891","43409","21417","N","HAMILTON MILLER INVESTMENTS, LLC","8-49621","41896","GREENWOOD VILLAGE","Colorado","United States","N"
"955891","43416","21416","N","21ST CENTURY INVESTMENTS INC.","","","TORONTO","","Canada","N"
"955891","43416","21415","N","ESC CONSULTING INC.","","","GENEVA","","Switzerland","N"
"955891","43416","21414","N","MODERN CAPITAL LLP","","","LONDON","","United Kingdom","N"
"955891","43416","21413","N","HAMILTON MILLER INVESTMENTS, LLC","8-49621","41896","GREENWOOD VILLAGE","Colorado","United States","N"
"955891","40506","21412","N","21ST CENTURY INVESTMENTS INC.","","","TORONTO","","Canada","N"
"955891","40506","21411","N","ESC CONSULTING INC.","","","GENEVA","","Switzerland","N"
"955891","40506","21410","N","MODERN CAPITAL LLP","","","LONDON","","United Kingdom","N"
"955891","40506","21409","N","HAMILTON MILLER INVESTMENTS, LLC","8-49621","41896","GREENWOOD VILLAGE","Colorado","United States","N"
"949275","167252","61366","N","LYSTER WATSON SECURITIES, INC.","8-44783","30210","NEW YORK","New York","United States","N"
"949275","27969","13649","N","LYSTER WATSON SECURITIES, INC.","8-44783","30210","NEW YORK","New York","United States","N"
"949275","167254","61368","N","LYSTER WATSON SECURITIES, INC.","8-44783","30210","NEW YORK","New York","United States","N"
"949275","167253","61367","N","LYSTER WATSON SECURITIES, INC.","8-44783","30210","NEW YORK","New York","United States","N"
"949275","27953","13648","N","LYSTER WATSON SECURITIES, INC.","8-44783","30210","NEW YORK","New York","United States","N"
"951639","166237","61032","N","SIXPOINT PARTNERS LLC","8-67785","146067","NEW YORK","New York","United States","N"
"951639","166358","61031","N","SIXPOINT PARTNERS LLC","8-67785","146067","NEW YORK","New York","United States","N"
"954296","51003","31167","N","LARRAIN VIAL INVESTMENT INC.","","","TORTOLA","","British Virgin Islands","N"
"954296","51003","31164","N","CV BROKERAGE, INC","8-12429","462","WASR CONSHOHOCKEN","Pennsylvania","United States","N"
"951709","166412","61103","N","SDDCO BROKERAGE ADVISORS LLC","8-68549","153563","NEW YORK","New York","United States","N"
"954526","27611","13484","N","PARK HILL REAL ESTATE GROUP LLC","8-67222","139491","NEW YORK","New York","United States","N"
"954526","27548","13480","N","PARK HILL REAL ESTATE GROUP LLC","8-67222","139491","NEW YORK","New York","United States","N"
"954526","51380","24906","N","GREENHILL & CO., LLC","8-49000","40290","NEW YORK","New York","United States","N"
"954526","51373","24904","N","GREENHILL & CO., LLC","8-49000","40290","NEW YORK","New York","United States","N"
"954359","43357","21369","Y","MORGAN STANLEY","801-70103","149777","NEW YORK","New York","United States","N"
"954359","43359","21370","Y","MORGAN STANLEY","801-70103","149777","NEW YORK","New York","United States","N"
"954773","54138","27241","N","EFP CAPITAL LLP","","","LONDON","","United Kingdom","N"
"954887","167482","61434","N","MOELIS & COMPANY LLC","8-67705","145115","NEW YORK","New York","United States","N"
"954887","167482","61433","N","GCA SAVVIAN ADVISORS, LLC","8-66065","127835","SAN FRANCISCO","California","United States","N"
"954887","167479","61432","N","MOELIS & COMPANY LLC","8-67705","145115","NEW YORK","New York","United States","N"
"954887","167479","61431","N","GCA SAVVIAN ADVISORS, LLC","8-66065","127835","SAN FRANCISCO","California","United States","N"
"953110","61813","40919","Y","JP MORGAN INSTITUTIONAL INVESTMENTS","","","NEWYORK","New York","United States","N"
"953110","76566","40918","Y","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"953110","76564","40916","N","STOCK INVESTMENT S.A.","","","PANAMA","","Panama","N"
"953110","76564","40915","Y","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"953110","76562","40913","Y","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"953110","76563","40914","Y","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"953110","37784","31415","Y","JPMORGAN ASSET MANAGEMENT (CANADA) INC.","","","VANCOUVER","","Canada","N"
"953110","37784","31414","N","BANCO ITAÚ INTERNACIONAL EUROPA","","","LUXEMBOURG","","Luxembourg","N"
"953110","61813","31355","Y","JPMORGAN ASSET MANAGEMENT (CANADA) INC.","","","VANCOUVER","","Canada","N"
"953110","61813","31347","Y","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"953110","37784","19502","N","CREDIT SUISSE SECURITIES (USA) LLC","801-56264","816","NEW YOR","New York","United States","N"
"953110","37784","19499","N","CITI PRIVATE ADVISORY LLC","","","NEW YORK","New York","United States","N"
"953110","37784","19498","Y","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"953110","40944","20397","N","STOCK INVESTMENT S.A.","","","PANAMA","","Panama","N"
"953110","40954","20330","Y","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"953110","40928","20314","Y","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"953110","40902","20313","Y","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"953110","40944","20326","Y","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"953110","37784","19416","N","STOCK INVESTMENT S.A.","","","PANAMA","","Panama","N"
"953110","37784","19506","N","UBS FINANCIAL SERVICES INC.","","","NEW YORK","New York","United States","N"
"953110","37784","19505","N","BEST - BANCO ELETRONICO DE SERVIÇO TOTAL S.A.","","","LISBOA","","Portugal","N"
"953110","37784","19503","N","MERRILL LYNCH ALTERNATIVE INVESTMENTS LLC","","","NEW YORK","New York","United States","N"
"953110","37784","40924","Y","JPMORGAN ASSET MANAGEMENT (UK) LIMITED","","","LONDON","","United Kingdom","N"
"953110","37784","40923","Y","J.P.MORGAN SUISSE S.A.","","","GENEVA","","Switzerland","N"
"953110","37784","40922","Y","JPMORGAN ASSET MANAGEMENT MARKETING LIMITED","","","LONDON","","United Kingdom","N"
"953110","37784","40921","Y","JPMORGAN ASSET MANAGEMENT (EUROPE) S.À R.L.","","","LUXEMBOURG","","Luxembourg","N"
"953110","37784","40920","Y","JP MORGAN INSTITUTIONAL INVESTMENTS","","","NEW YORK","New York","United States","N"
"955316","167753","61543","N","EVERCORE GROUP L.L.C.","8-49830","42405","NEW YORK","New York","United States","N"
"955316","167753","61544","N","EVERCORE PARTNERS INTERNATIONAL LLP","","","LONDON","","United Kingdom","N"
"956504","65827","35133","Y","DEUTSCHE BANK TRUST COMPANY AMERICAS","","","NEW YORK","New York","United States","N"
"956504","65827","33584","Y","DEUTCHE BANK AG, LONDON BRANCH","","","LONDON","","United Kingdom","N"
"956504","65827","33583","Y","DEUTSCHE BANK SECURITIES INC.","801-9638","2525","NEW YORK","New York","United States","N"
"956504","65815","33575","Y","DEUTSCHE BANK TRUST COMPANY AMERICAS","","","NEW YORK","New York","United States","N"
"956504","65815","33574","Y","DEUTCHE BANK AG, LONDON BRANCH","","","LONDON","","United Kingdom","N"
"956504","65815","33573","Y","DEUTSCHE BANK SECURITIES INC.","801-9638","2525","NEW YORK","New York","United States","N"
"956504","65805","33561","Y","DEUTSCHE BANK SECURITIES INC.","801-9638","2525","NEW YORK","New York","United States","N"
"956504","65805","33562","Y","DEUTCHE BANK AG, LONDON BRANCH","","","LONDON","","United Kingdom","N"
"956182","167781","61558","N","TIJU JOSEPH","","","BRUSSELS","","Belgium","N"
"951820","167703","61518","N","ASTIR CAPITAL","","","LONDON","","United Kingdom","N"
"951820","167702","61517","N","ASTIR CAPITAL","","","LONDON","","United Kingdom","N"
"956503","167870","61699","N","LAMON & STERN, INC.","8-28694","10839","ATLANTA","Georgia","United States","N"
"956503","167870","61698","N","PROFOR ADVISORS","8-66974","136084","NEW YORK","New York","United States","N"
"956112","43886","21538","N","PROBITAS FUNDS GROUP, LLC","8-53512","115876","SAN FRANCISCO","California","United States","N"
"955012","68157","61520","N","DR. TAN SIAN WEE","","","SINGAPORE","","Singapore","N"
"955012","68157","34749","N","EMERSON EQUITY LLC","801-71293","130032","SAN MATEO","California","United States","N"
"956428","65893","33613","N","M2O PRIVATE FUND ADVISORS LLC","8-68917","158741","NEW YORK","New York","United States","N"
"956428","65893","33615","N","CLEARLY SO LTD","","","LONDON","","United Kingdom","N"
"956428","65893","33614","N","WISE CAPITAL LIMITED","","","LONDON","","United Kingdom","N"
"956270","167793","61619","Y","GATEWOOD ADVISORS LLC","8-69445","171121","NEW YORK","New York","United States","N"
"956270","167794","61620","Y","GATEWOOD ADVISORS LLC","8-69445","171121","NEW YORK","New York","United States","N"
"951295","167432","61419","N","WAVERLY CORPORATE FINANCIAL SERVICES LTD.","","","TORONTO","","Canada","N"
"953380","167669","61497","N","BENTLEY SECURITIES CORPORATION","8-41879","25759","NEW YORK","New York","United States","N"
"956769","64262","32835","N","JP MORGAN SECURITIES LLC","","","NEW YORK","New York","United States","N"
"956769","54164","27254","N","DEUTSCHE BANK ALEX BROWN","","","NEW YORK","New York","United States","N"
"956769","35449","21123","N","FUND CHANNEL","","","LUXEMBOURG","","Luxembourg","Y"
"956769","35279","21115","N","DAEWOO SECURITIES CO. LTD","","","SEOUL","","Korea, South","N"
"956769","35279","21112","N","DEUTSCHE BANK ALEX BROWN","","","NEW YORK","New York","United States","N"
"956769","54164","27497","N","DEUTSCHE BANK TRUST COMPANY AMERICAS","","","NEW YORK","New York","United States","N"
"956769","35449","27495","N","UBS AG","","","ZURICH","","Switzerland","N"
"956769","35449","27494","N","JP MORGAN SECURITIES INC","","","NEW YORK","New York","United States","N"
"956769","35279","27500","N","DEUTSCHE BANK AG (SINGAPORE & HONG KONG)","","","MUNICH","","Germany","N"
"956769","35279","27499","N","DEUTSCHE BANK TRUST COMPANY AMERICAS","","","NEW YORK","New York","United States","N"
"956769","35279","27498","N","CREDIT SUISSE AG","","","ZURICH","","Switzerland","N"
"959415","27705","41711","N","JEFFERIES INTERNATIONAL LIMITED","","","LONDON","","United Kingdom","N"
"959415","27705","41710","N","PROVEST ASSET MANAGEMENT SA","","","GENÈVE","","Switzerland","N"
"959415","27184","19331","Y","CQS (US), LLC","801-69452","147329","NEW YORK","New York","United States","N"
"959415","27705","19564","Y","CQS (US), LLC","801-69452","147329","NEW YORK","New York","United States","N"
"959415","27676","19527","Y","CQS (US), LLC","801-69452","147329","NEW YORK","New York","United States","N"
"959415","50095","24359","Y","CQS (US), LLC","801-69452","147329","NEW YORK","New York","United States","N"
