"FilingID","ReferenceID","Name of Auditing Firm","City","State","Country","Independent","PCAOB Registered","PCAOB Inspected"
1041958,167211,"PRICEWATERHOUSECOOPER LLP","BOSTON","Massachusetts","United States","Y","Y","Y"
1041958,167209,"PRICEWATERHOUSECOOPERS LLP","BOSTON","Massachusetts","United States","Y","Y","Y"
1041958,167210,"PRICEWATERHOUSECOOPER LLP","BOSTON","Massachusetts","United States","Y","Y","Y"
1047795,180205,"EISNERAMPER LLP","NEW YORK","New York","United States","Y","Y","Y"
1048633,179224,"MST","MONTGOMERY","Alabama","United States","Y","N",""
1045609,180124,"DELOITTE & TOUCHE LLP","SAN FRANCISCO","California","United States","Y","Y","Y"
1049254,168722,"FULVIO & ASSOCIATES, LLP","5 WEST 37TH STREET-4TH FLOOR","New York","United States","Y","Y","Y"
1051850,76380,"KPMG","NEW YORK","New York","United States","Y","Y","Y"
1051850,76378,"KPMG","NEW YORK","New York","United States","Y","Y","Y"
1051850,74122,"KPMG","NEW YORK","New York","United States","Y","Y","Y"
1055758,66184,"DELOITTE LLP","LONDON","","United Kingdom","Y","Y","Y"
1055758,66134,"DELOITTE LLP","LONDON","","United Kingdom","Y","Y","Y"
1055758,66190,"PWC","HARTFORD","Connecticut","United States","Y","Y","Y"
1055758,66185,"DELOITTE LLP","LONDON","","United Kingdom","Y","Y","Y"
1055758,66136,"DELOITTE LLP","LONDON","","United Kingdom","Y","Y","Y"
1054870,64987,"DELOITTE & TOUCHE","GEORGE TOWN","","Cayman Islands","Y","Y","Y"
1054870,64986,"DELOITTE","GEORGE TOWN","","Cayman Islands","Y","Y","Y"
1057901,14107,"CITRIN COOPERMAN & COMPANY, LLP","NEW YORK","New York","United States","Y","Y","Y"
1057901,14101,"CITRIN COOPERMAN & COMPANY, LLP","NEW YORK","New York","United States","Y","Y","Y"
1043294,179817,"ERNST & YOUNG","GRAND CAYMANS","","Cayman Islands","Y","Y","Y"
1049074,180330,"MICHAEL COGLIANESE","BLOOMINGDALE","Illinois","United States","Y","Y","Y"
1055761,180873,"TBD","NEW YORK","New York","United States","Y","Y","Y"
1046273,180106,"KPMG LLP","WALNUT CREEK","California","United States","Y","Y","Y"
1046273,180107,"KPMG LLP","WALNUT CREEK","California","United States","Y","Y","Y"
1054073,49485,"PRICEWATERHOUSECOOPERS","DUBLIN","","Ireland","Y","Y","Y"
1054073,39801,"PRICEWATERHOUSECOOPERS S.A.R.L","LUXEMBOURG","","Luxembourg","Y","Y","Y"
1051328,180593,"WITHUMSMITH+BROWN, PC","NEW YORK","New York","United States","Y","Y","Y"
1058323,13337,"PRICEWATERHOUSECOOPERS","HONG KONG","","China","Y","Y","Y"
1058323,13330,"PRICEWATERHOUSECOOPERS","HONG KONG","","China","Y","Y","Y"
1058323,13317,"PRICEWATERHOUSECOOPERS","HONG KONG","","China","Y","Y","Y"
1058323,61512,"PRICEWATERHOUSECOOPERS","DUBLIN","","Ireland","Y","Y","Y"
1045429,4729,"ERNST & YOUNG","DOUGLAS","","Isle of Man","Y","Y","Y"
1049971,177696,"PRICEWATERHOUSECOOPERS LLP","TORONTO, ONTARIO","","Canada","Y","Y","Y"
