FilingID,Initial SEC Registration Request,Annual Updating Amendment for Registered Adviser,Other-Than Anual Amendment For Registered Adviser,Initial State Registration Request,Initial SEC ERA Report,Annual Updating Amendment ERA Report,Other-Than Annual Amendment ERA Report,Initial State ERA Report,Final State ERA Report, Final SEC ERA Report,Annual Updating Amendment Fiscal Year
1043988,"","","Y","","","","","","","",
1043993,"","Y","","","","","","","","",2016
1044001,"","","Y","","","","","","","",
1044005,"","","Y","","","","","","","",
1044007,"Y","","","","","","","","Y","Y",
1044009,"","","Y","","","","","","","",
1044014,"Y","","","","","","","","","",
1044019,"","","Y","","","","","","","",
1044020,"","","Y","","","","","","","",
1044023,"","","Y","","","","","","","",
1044024,"","","Y","","","","","","","",
1044025,"","","Y","","","","","","","",
1044028,"","","Y","","","","","","","",
1044039,"","","Y","","","","","","","",
1044040,"","","Y","","","","","","","",
1044044,"","","Y","","","","","","","",
1044045,"","","Y","","","","","","","",
1044046,"","","Y","","","","","","","",
1044048,"","","Y","","","","","","","",
1044049,"","","Y","","","","","","","",
1044050,"Y","","","","","","","","","",
1044051,"","","Y","","","","","","","",
1044052,"","","Y","","","","","","","",
1044053,"","","Y","","","","","","","",
1044054,"","","Y","","","","","","","",
1044056,"","","Y","","","","","","","",
1044058,"","","Y","","","","","","","",
1044064,"","","Y","","","","","","","",
1044065,"","","Y","","","","","","","",
1044070,"","","Y","","","","","","","",
1044072,"","","Y","","","","","","","",
1044077,"","","Y","","","","","","","",
1044085,"","","Y","","","","","","","",
1044088,"","","Y","","","","","","","",
1044090,"","","Y","","","","","","","",
1044098,"","","Y","","","","","","","",
1044099,"","","Y","","","","","","","",
1044100,"","","Y","","","","","","","",
1044101,"","","Y","","","","","","","",
1044111,"","","Y","","","","","","","",
1044120,"","","Y","","","","","","","",
1044121,"","","Y","","","","","","","",
1044122,"","","Y","","","","","","","",
1044126,"","","Y","","","","","","","",
1044127,"","","Y","","","","","","","",
1044128,"","","Y","","","","","","","",
1044132,"","","Y","","","","","","","",
1044133,"","","","","","","Y","","","",
1044136,"","","","","Y","","","","","",
1044137,"","","Y","","","","","","","",
1044142,"","","Y","","","","","","","",
1044143,"","","Y","","","","","","","",
1044146,"","","Y","","","","","","","",
1044148,"","","Y","","","","","","","",
1044150,"","","Y","","","","","","","",
1044152,"","","Y","","","","","","","",
1044155,"","","Y","","","","","","","",
1044162,"","","Y","","","","","","","",
1044164,"","","Y","","","","","","","",
1044165,"","","","","","","Y","","","",
1044169,"","","Y","","","","","","","",
1044170,"","","Y","","","","","","","",
1044171,"","","Y","","","","","","","",
1044172,"","","Y","","","","","","","",
1044173,"","","Y","","","","","","","",
1044174,"","","Y","","","","","","","",
1044177,"","","Y","","","","","","","",
1044179,"","","Y","","","","","","","",
1044181,"","","Y","","","","","","","",
1044182,"","","","","","","Y","","","",
1044184,"","","Y","","","","","","","",
1044186,"","","Y","","","","","","","",
