"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","CRD Number"
1028907,58067,"MORGAN STANLEY & CO. LLC","MORGAN STANLEY & CO. LLC","NEW YORK","New York","United States","N","8-15869",8209
1028907,49935,"SG HAMBROS TRUST COMPANY (CHANNEL ISLANDS) LIMITED","SG HAMBROS TRUST COMPANY","ST HELIER","","Jersey","Y","",
1028907,49935,"SOCIETE GENERALE","SG","PARIS","","France","Y","",
1028907,49935,"J.P. MORGAN CLEARING CORP.","J.P. MORGAN CLEARING CORP.","NEW YORK","New York","United States","N","8-43724",28432
1028907,7574,"SOCIETE GENERALE","SG","PARIS","","France","Y","",
1028907,7574,"SG HAMBROS TRUST COMPANY (CHANNEL ISLANDS) LIMITED","SG HAMBROS TRUST COMPANY","ST HELIER","","France","Y","",
1028907,7574,"UBS SECURITIES LLC","UBS SECURITIES LLC","NEW YORK","New York","United States","N","8-22651",7654
1028907,7574,"GOLDMAN, SACHS & CO.","GOLDMAN, SACHS & CO.","NEW YORK","New York","United States","N","8-129",361
1028907,7574,"UBS AG (LONDON BRANCH)","UBS AG","LONDON","","United Kingdom","N","",
1028907,7884,"SG HAMBROS TRUST COMPANY (CHANNEL ISLANDS) LIMITED","SG HAMBROS TRUST COMPANY","ST HELIER","","Jersey","Y","",
1028082,178477,"WELLS FARGO SECURITIES, LLC","WELLS FARGO SECURITIES, LLC","CHARLOTTE","North Carolina","United States","N","8-65876",126292
1028878,9882,"J.P. MORGAN SECURITIES LLC","J.P. MORGAN SECURITIES LLC","NEW YORK","New York","United States","N","8-35008",79
1028878,9882,"FIRST REPUBLIC SECURITIES COMPANY, LLC","FIRST REPUBLIC SECURITIES COMPANY, LLC","NEW YORK","New York","United States","N","8-52973",105108
1028878,178541,"MORGAN STANLEY SMITH BARNEY LLC","MORGAN STANLEY","NEW YORK","New York","United States","N","8-68191",149777
1028878,178541,"FIRST REPUBLIC SECURITIES COMPANY, LLC","FIRST REPUBLIC SECURITIES COMPANY, LLC","NEW YORK","New York","United States","N","8-52973",105108
1033747,64404,"PLAINS CAPITAL BANK","PLAINS CAPITAL BANK","DALLAS","Texas","United States","N","",
1033747,171057,"PLAINS CAPITAL BANK","PLAINS CAPITAL BANK","DALLAS","Texas","United States","N","",
1036648,179226,"SVB SECURITIES, A NON-BANK AFFILIATE OF SILICON VALLEY BANK","SVB SECURITIES, A NON-BANK AFFILIATE OF SILICON VALLEY BANK","SANTA CLARA","California","United States","N","8-51582",46902
1037041,47135,"THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED","FINANCIAL SERVICES","HONG KONG","","Hong kong","N","",
1033558,34203,"UBS AG LONDON","UBS AG LONDON","LONDON","","United Kingdom","N","",
1033558,36257,"UBS AG LONDON","UBS AG LONDON","LONDON","","United Kingdom","N","",
1041839,28199,"FIRST NATIONAL BANK A DIVISION OF FIRSTRAND BANK LIMITED","FIRST NATIONAL BANK A DIVISION OF FIRSTRAND BANK LIMITED","JOHANNESBURG","","South Africa","N","",
1041839,28199,"DEUTSCHE BANK","DEUTSCHE BANK","ST HELIER","","Jersey","N","",
1041839,28199,"STANBIC IBTC BANK","STANBIC IBTC BANK","LAGOS","","Nigeria","N","",
1041839,29221,"FIRST NATIONAL BANK A DIVISION OF FIRSTRAND BANK LIMITED","FIRST NATIONAL BANK A DIVISION OF FIRSTRAND BANK LIMITED","JOHANNESBURG","","South Africa","N","",
1041839,29221,"DEUTSCHE BANK","DEUTSCHE BANK","ST HELIER","","Jersey","N","",
1041839,29221,"STANBIC IBTC BANK","STANBIC IBTC BANK","LAGOS","","Nigeria","N","",
1041839,29236,"FIRST NATIONAL BANK A DIVISION OF FIRSTRAND BANK LIMITED","FIRST NATIONAL BANK A DIVISION OF FIRSTRAND BANK LIMITED","JOHANNESBURG","","South Africa","N","",
1041839,29236,"DEUTSCHE BANK","DEUTSCHE BANK","ST HELIER","","Jersey","N","",
1041839,28199,"RMB MORGAN STANLEY (PTY) LIMITED","RMB MORGAN STANLEY (PTY) LIMITED","SANDTON","","South Africa","N","",
1041839,29221,"RMB MORGAN STANLEY (PTY) LIMITED","RMB MORGAN STANLEY (PTY) LIMITED","SANDTON","","South Africa","N","",
1041839,29236,"RMB MORGAN STANLEY (PTY) LIMITED","RMB MORGAN STANLEY (PTY) LIMITED","SANDTON","","South Africa","N","",
