"FilingID","Country/Authority"
"965056","Singapore - Monetary Authority of Singapore"
"973640","United Kingdom - Financial Conduct Authority"
"973635","United Kingdom - Financial Conduct Authority"
"969682","Hong Kong - Securities and Futures Commission"
"975803","Other: COMMISSION DE CONTROLE DE ACTIVIES FINANCIERES (CCAF)"
"975003","United Kingdom - Financial Conduct Authority"
"969517","United Kingdom - Financial Conduct Authority"
"957246","Jersey - Jersey Financial Services Commission"
"976459","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"972465","United Kingdom - Financial Conduct Authority"
"977337","United Kingdom - Financial Conduct Authority"
"974723","United Kingdom - Financial Conduct Authority"
"977877","Singapore - Monetary Authority of Singapore"
"977877","Hong Kong - Securities and Futures Commission"
"974788","United Kingdom - Financial Conduct Authority"
"980037","Australia - Australian Securities and Investments Commission"
"979571","Other: CAYMAN ISLANDS - CIMA"
"979571","Hong Kong - Securities and Futures Commission"
"974258","France - Financial Markets Authority"
"959881","United Kingdom - Financial Conduct Authority"
"980586","United Kingdom - Financial Conduct Authority"
"974550","Sweden - Swedish Financial Supervisory Authority"
"979776","Brazil - Securities and Exchange Commission"
"974945","United Kingdom - Financial Conduct Authority"
"981656","France - Financial Markets Authority"
"962595","Singapore - Monetary Authority of Singapore"
"981208","Other: UK- FINANCIAL CONDUCT AUTHORITY"
"970682","Mauritius, Republic of - Financial Services Commission"
"984338","Hungary - Hungarian Financial Supervisory Authority"
"982939","Canada - Ontario Securities Commission"
"982939","Canada - Alberta Securities Commission"
"982939","Canada - British Columbia Securities Commission"
"982939","Canada - Manitoba Securities Commission"
"982939","Canada - New Brunswick Securities Commission"
"982939","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"982939","Canada - Nova Scotia Securities Commission"
"982939","Canada - Prince Edward Island, Securities Office"
"982939","Canada - Quebec, Financial Markets Authority"
"982939","Canada - Saskatchewan Financial Services Commission"
"975269","Hong Kong - Securities and Futures Commission"
"974131","Ireland -  Central Bank of Ireland"
"973225","United Kingdom - Financial Conduct Authority"
"974450","United Kingdom - Financial Conduct Authority"
"986323","Hong Kong - Securities and Futures Commission"
"973430","United Kingdom - Financial Conduct Authority"
"978953","Germany - German Federal Financial Supervisory Agency"
"987086","Canada - Alberta Securities Commission"
"972631","Singapore - Monetary Authority of Singapore"
"972631","China, People's Republic of - China Securities Regulatory Commission "
"987152","Singapore - Monetary Authority of Singapore"
"969555","Brazil - Securities and Exchange Commission"
"987189","United Kingdom - Financial Conduct Authority"
"985722","United Kingdom - Financial Conduct Authority"
"984446","Bermuda - Bermuda Monetary Authority"
"978918","United Kingdom - Financial Conduct Authority"
"978140","Other: COMMISSION DE SURVEILLANCE DU SECTEUR FINANCIER"
"988847","Brazil - Securities and Exchange Commission"
"989426","Singapore - Monetary Authority of Singapore"
"986418","United Kingdom - Financial Conduct Authority"
"985673","France - Financial Markets Authority"
"990810","United Kingdom - Financial Conduct Authority"
"990810","Ireland -  Central Bank of Ireland"
"990810","Other: GIBRALTAR FINANCIAL SERVICES COMMISSION"
"974722","British Virgin Islands - British Virgin Islands Financial Services Commission"
"979369","Mauritius, Republic of - Financial Services Commission"
"990269","Other: BELGIUM - NATIONAL BANK OF BELGIUM"
"990269","Other: BELGIUM - FINANCIAL SERVICES AND MARKETS AUTHORITY"
"990269","Other: EUROPE - EUROPEAN CENTRAL BANK"
"989567","France - Financial Markets Authority"
"991358","Canada - British Columbia Securities Commission"
"980799","Other: SWISS FINANCIAL MARKET SUPERVISORY AUTHORITY (FINMA)"
"992820","Cayman Islands - Cayman Islands Monetary Authority"
"988933","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"987710","Canada - Saskatchewan Financial Services Commission"
