"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","CRD Number"
"899134","37335","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"899134","37385","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"899134","35616","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"877184","67329","INTERACTIVE BROKERS LLC","INTERACTIVE BROKERS LLC","GREENWICH","Connecticut","United States","N","8-47257","36418"
"877184","67329","FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","BOSTON","Massachusetts","United States","N","",""
"898150","36633","SILICON VALLEY BANK","SILICON VALLEY BANK","PALO ALTO","California","United States","N","",""
"898150","36748","SILICON VALLEY BANK","SILICON VALLEY BANK","PALO ALTO","California","United States","N","",""
"898150","36707","SILICON VALLEY BANK","SILICON VALLEY BANK","PALO ALTO","California","United States","N","",""
"898150","36597","MORGAN STANLEY PRIVATE WEALTH MANAGEMENT","MORGAN STANLEY PRIVATE WEALTH MANAGEMENT","SAN FRANCISCO","California","United States","N","",""
"898150","36707","MORGAN STANLEY PRIVATE WEALTH MANAGEMENT","MORGAN STANLEY PRIVATE WEALTH MANAGEMENT","SAN FRANCISCO","California","United States","N","",""
"898150","36633","MORGAN STANLEY PRIVATE WEALTH MANAGEMENT","MORGAN STANLEY PRIVATE WEALTH MANAGEMENT","SAN FRANCISCO","California","United States","N","",""
"898150","36748","MORGAN STANLEY PRIVATE WEALTH MANAGEMENT","MORGAN STANLEY PRIVATE WEALTH MANAGEMENT","SAN FRANCISCO","California","United States","N","",""
"891793","31439","J.P. MORGAN SECURITIES LLC","J.P. MORGAN SECURITIES LLC","NEW YORK","New York","United States","N","8-35008","79"
"891793","31427","J.P. MORGAN SECURITIES LLC","J.P. MORGAN SECURITIES LLC","NEW YORK","New York","United States","N","8-35008","79"
