"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
"883761","54848","10826","MICROVEST GMG LOCAL CREDIT FUND, LP","805-8603914054","Delaware","United States","N","Y"
"883761","54848","10825","MICROVEST GMG LOCAL CREDIT OFFSHORE FUND, LTD.","805-8798997855","","Cayman Islands","N","Y"
"894772","30955","5647","SOUTHPORT ENERGY PLUS OFFSHORE FUND, INC.","805-4681609938","","Cayman Islands","Y","N"
"894772","30955","10132","SOUTHPORT ENERGY PLUS PARTNERS, L.P.","805-4489204491","Delaware","United States","N","Y"
"894988","36992","31364","NINEALPHA CAPITAL FUND OFFSHORE LTD.","805-3749032459","","Cayman Islands","Y","Y"
"894988","36992","31365","NINEALPHA CAPITAL FUND ONSHORE LP","805-1687435575","Delaware","United States","Y","Y"
"889541","27290","5069","BOARDMAN CAPITAL PARTNERS LLC","805-9241950745","Delaware","United States","Y","Y"
"894720","57981","11703","SEA CREST FEEDER FUND LIMITED","805-1762144430","","Cayman Islands","Y","N"
"894028","66204","13565","COLUMBIA LAKE PARTNERS GROWTH LENDING (HOLDINGS), LLC","805-8996735938","Delaware","United States","Y","N"
"885921","53851","10550","SANDGLASS OPPORTUNITY FEEDER FUND (CAYMAN) LTD.","805-3592768417","","Cayman Islands","N","Y"
"885921","53851","10601","SANDGLASS OPPORTUNITY FUND FEEDER (US) L.P.","805-9082168674","Delaware","United States","N","Y"
"871458","46787","8472","PIOLET PARTNERS FUND, LTD.","805-6795152934","","Cayman Islands","N","Y"
"871458","46787","8473","PIOLET PARTNERS FUND, L.P.","805-9691554840","Delaware","United States","N","Y"
"880651","23629","5111","SAWHF (SA) II","805-1315373782","","South Africa","N","Y"
"880651","23629","5110","SAWHF (CAYMAN) II L.P.","805-5764060871","","Cayman Islands","N","Y"
"880651","23629","5108","SAWHF (CAYMAN) I L.P.","805-2702498047","","Cayman Islands","N","Y"
"880651","72734","27385","IHS FUND II SSA FEEDER","805-9867448618","","South Africa","N","Y"
"880651","72734","27383","IHS FUND II SSA (CAYMAN FEEDER A) L.P.","805-6088656719","","Cayman Islands","N","Y"
