"FilingID","ReferenceID","Name of Administrator","City","State","Country","Related Person","Statements","Who Sends Statements"
"983315","48652","ADURO ADVISORS, LLC","LIVERMORE","California","United States","N","Yes (provided to all investors)","N/A"
"977355","171887","STATE STREET FUND SERVICES (IRELAND) LIMITED","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"977355","171888","STATE STREET FUND SERVICES (IRELAND) LIMITED","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"977355","40247","INTERTRUST GROUP","AMSTERDAM","","Netherlands","N","No (provided to no investors)","N/A"
"977355","171710","STATE STREET FUND SERVICES (IRELAND) LIMITED","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"977355","62345","TMF GROUP","AMSTERDAM","","Netherlands","N","No (provided to no investors)","N/A"
"977355","76632","TMF GROUP","AMSTERDAM","","Netherlands","N","No (provided to no investors)","N/A"
"977355","38275","STATE STREET FUND SERVICES (IRELAND) LIMITED","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"977355","38396","STATE STREET FUND SERVICES (IRELAND) LIMITED","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"977355","40222","INTERTRUST GROUP","AMSTERDAM","","Netherlands","N","No (provided to no investors)","N/A"
"991898","35859","IPES (GUERNSEY) LIMITED","ST PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
"991898","35852","IPES (GUERNSEY) LIMITED","ST PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
"991898","35849","IPES (GUERNSEY) LIMITED","ST PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
"991898","35839","IPES (GUERNSEY) LIMITED","ST PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
"991898","35834","IPES (GUERNSEY) LIMITED","ST PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
"991898","35832","IPES (GUERNSEY) LIMITED","ST PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
"991898","35830","IPES (GUERNSEY) LIMITED","ST PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
"991898","35822","IPES (GUERNSEY) LIMITED","ST PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
"991898","35801","IPES (GUERNSEY) LIMITED","ST PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
"991898","60221","IPES (GUERNSEY) LIMITED","ST PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
"991898","60218","IPES (GUERNSEY) LIMITED","ST PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
"991898","50050","IPES (GUERNSEY) LIMITED","ST PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
"991898","50047","IPES (GUERNSEY) LIMITED","ST PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
"991898","35864","IPES (GUERNSEY) LIMITED","ST PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
"991898","35866","IPES (GUERNSEY) LIMITED","ST PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
"992356","6714","CITI FUND SERVICES OHIO, INC.","COLUMBUS","Ohio","United States","N","No (provided to no investors)","ORBIS ADMINISTRATION LIMITED"
"992356","6652","CITI FUND SERVICES OHIO, INC.","COLUMBUS","Ohio","United States","N","No (provided to no investors)","ORBIS ADMINISTRATION LIMITED"
"992346","172386","CITI FUND SERVICES OHIO, INC.","COLUMBUS","Ohio","United States","N","No (provided to no investors)","ORBIS INVESTMENT ADVISORY (CANADA) LIMITED AND ORBIS INVESTMENT MANAGEMENT LIMITED"
"1000014","170363","JPMORGAN HEDGE FUND","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"974788","25407","ORANGEFIELD FUND SERVICES","AMSTERDAM","","Netherlands","N","Yes (provided to all investors)",""
"978365","57898","SS&C GLOBEOP","EVANSVILLE","Indiana","United States","N","Yes (provided to all investors)",""
"978539","169917","SS&C, INC.","WINDSOR","Connecticut","United States","N","Yes (provided to all investors)",""
"975929","169750","ESSENTIAL FUND SERVICES, LLC","TARRYTOWN","New York","United States","N","Yes (provided to all investors)",""
"975929","169742","ESSENTIAL FUND SERVICES, LLC","TARRYTOWN","New York","United States","N","Yes (provided to all investors)",""
"962595","168521","CITCO FUND SERVICES (SINGAPORE) PTE LTD","SINGAPORE","","Singapore","N","Yes (provided to all investors)",""
"973430","25435","BNY MELLON INVESTMENT SERVICING (INTERNATIONAL) LIMITED","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"973430","48234","BNY MELLON INVESTMENT SERVICING (INTERNATIONAL) LIMITED","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"985889","45358","IPS FUND SERVICES LLC","BOSTON","Massachusetts","United States","N","Yes (provided to all investors)",""
"985889","45357","IPS FUND SERVICES LLC","BOSTON","Massachusetts","United States","N","Yes (provided to all investors)",""
"984743","41997","GENTOO FUND SERVICES LIMITED","ST PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
"984743","41980","GENTOO FUND SERVICES LIMITED","ST PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
"983085","22486","SEI GLOBAL SERVICES, INC.","OAKS","Pennsylvania","United States","N","Yes (provided to all investors)",""
"983085","22553","SEI GLOBAL SERVICES, INC.","OAKS","Pennsylvania","United States","N","Yes (provided to all investors)",""
"987086","94229","PINNACLE","VANCOUVER","","Canada","N","Yes (provided to all investors)",""
"987086","60610","PINNACLE","VANCOUVER","","Canada","N","Yes (provided to all investors)",""
"977184","56670","OPUS FUND SERVICES","NAPERVILLE","Illinois","United States","N","Some (provided to some but not all investors)","TARGET QR STRATEGIES, LLC"
"985258","67735","ACCOUNTING SERVICES, CPA LLC","NEW YORK","New York","United States","N","No (provided to no investors)","NOT APPLICABLE"
"985258","67734","EAS ACCOUNTING SERVICES, CPA LLC","NEW YORK","New York","United States","N","No (provided to no investors)","NOT APPLICABLE"
"985258","67811","EAS ACCOUNTING SERVICES, CPA LLC","NEW YORK","New York","United States","N","No (provided to no investors)","NOT APPLICABLE"
"985258","67810","EAS ACCOUNTING SERVICES, CPA LLC","NEW YORK","New York","United States","N","No (provided to no investors)","NOT APPLICABLE"
"986418","55797","QUINTILLION LIMITED","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"986085","157796","CACEIS CANADA LTD","MISSISSAUGA","","Canada","N","Yes (provided to all investors)",""
"991682","59033","ADURO ADVISORS","PLEASANTON","California","United States","N","Yes (provided to all investors)",""
"991682","59027","ADURO ADVISORS","PLEASANTON","California","United States","N","Yes (provided to all investors)",""
"991682","30938","ADURO ADVISORS","PLEASANTON","California","United States","N","Yes (provided to all investors)",""
"990206","57846","VMS FUND ADMINISTRATION, LLC","PRINCETON","New Jersey","United States","N","Yes (provided to all investors)",""
"990206","57847","VMS FUND ADMINISTRATION, LLC","PRINCETON","New Jersey","United States","N","Yes (provided to all investors)",""
"997521","173704","DEUTSCHE BANK S.A. - BANCO ALEMÃO","SÃO PAULO","","Brazil","N","No (provided to no investors)","THE POSITION STATEMENT ARE SENT TO THE INVESTOR BY THE INVESTMENT MANAGER. THE ADMINISTRATOR IS RESPONSABLE AMONG OTHER DUTIES TO CALCULATE THE NAV AND VALUATION."
"997521","62574","DEUTSCHE BANK S.A. - BANCO ALEMÃO","SÃO PAULO","","Brazil","N","No (provided to no investors)","THE POSITION STATEMENT ARE SENT TO THE INVESTOR BY THE INVESTMENT MANAGER. THE ADMINISTRATOR IS RESPONSABLE AMONG OTHER DUTIES TO CALCULATE THE NAV AND VALUATION."
"997521","53294","DEUTSCHE BANK S.A. - BANCO ALEMÃO","SÃO PAULO","","Brazil","N","No (provided to no investors)","THE POSITION STATEMENT ARE SENT TO THE INVESTOR BY THE INVESTMENT MANAGER. THE ADMINISTRATOR IS RESPONSABLE AMONG OTHER DUTIES TO CALCULATE THE NAV AND VALUATION."
"997521","53333","DEUTSCHE BANK S.A. - BANCO ALEMÃO","SÃO PAULO","","Brazil","N","No (provided to no investors)","THE POSITION STATEMENT ARE SENT TO THE INVESTOR BY THE INVESTMENT MANAGER. THE ADMINISTRATOR IS RESPONSABLE AMONG OTHER DUTIES TO CALCULATE THE NAV AND VALUATION."
"976325","45140","MORGAN STANLEY FUND SERVICES (BERMUDA) LTD.","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"976325","169782","MORGAN STANLEY FUND SERVICES (BERMUDA) LTD.","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"969151","28265","HALDER-GIMV GERMANY MANAGEMENT B.V.","DEN HAAG","","Netherlands","N","Yes (provided to all investors)",""
"969151","28256","HALDER-GIMV GERMANY MANAGEMENT B.V.","DEN HAAG","","Netherlands","N","Yes (provided to all investors)",""
