"FilingID","Fund Name","Fund ID","ReferenceID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion","Master Fund","Feeder Fund","Master Fund Name","Master Fund ID","Fund of Funds","Fund Invested Self or Related","Fund Invested in Securities","Fund Type","Fund Type Other","Gross Asset Value","Minimum Investment","Owners","%Owned You or Related","%Owned Funds","%Owned Non-US","Subadviser","Other IAs Advise","Clients Solicited","Percentage Invested","Exempt from Registration","Annual Audit","GAAP","FS Distributed","Unqualified Opinion","Prime Brokers","Custodians","Administrator","% Assets Valued","Marketing"
1056768,"MADISON INDIA OPPORTUNITIES III",805-1749375129,181020,"","Mauritius","Y","Y","N","N","",,"Y","N","N","Private Equity Fund","",6923844,100000,2,1,99,100,"N","N","N",0,"N","Y","Y","Y","Yes","N","Y","Y",0,"N"
1048429,"SCION VALUE G7, L.P.",805-9596269959,55652,"Delaware","United States","Y","N","N","N","",,"N","","Y","Hedge Fund","",36832959,500000,29,8,0,0,"N","N","N",0,"Y","Y","Y","Y","Yes","Y","Y","Y",100,"N"
1048429,"SCION MASTER G7, L.P.",805-5561342143,55596,"","Cayman Islands","N","Y","Y","N","",,"N","","Y","Hedge Fund","",102267935,1000000,35,2,34,10,"N","N","N",0,"Y","Y","Y","Y","Yes","Y","Y","Y",100,"N"
1043205,"VERDANE CAPITAL IX (E ) AB",805-6122326929,180058,"","Sweden","Y","Y","Y","N","",,"N","","N","Private Equity Fund","",0,1500000,0,0,0,0,"N","N","N",3,"N","Y","N","Y","Yes","Y","Y","N",0,"Y"
1043205,"VERDANE CAPITAL IX (D ) AB",805-2141799516,180055,"","Sweden","Y","Y","N","N","",,"N","","N","Private Equity Fund","",0,1500000,0,0,0,0,"N","N","N",0,"Y","Y","N","N","Yes","Y","Y","N",0,"Y"
1048701,"WEST FACE CREDIT OPPORTUNITIES MASTER I L.P.",805-4125773875,17940,"","Cayman Islands","N","Y","Y","N","",,"N","","N","Hedge Fund","",30234482,1000000,5,5,95,5,"N","N","N",2,"Y","Y","Y","Y","Yes","Y","Y","Y",100,"N"
1048701,"WEST FACE LONG TERM OPPORTUNITIES GLOBAL MASTER L.P.",805-9312233773,17011,"","Cayman Islands","N","Y","Y","N","",,"N","","N","Hedge Fund","",1155742793,1000000,201,9,32,22,"N","N","N",84,"Y","Y","Y","Y","Yes","Y","Y","Y",51,"N"
1048701,"WEST FACE ALTERNATIVE CREDIT MASTER L.P.",805-9041935548,58420,"","Cayman Islands","N","Y","Y","N","",,"N","","N","Private Equity Fund","",24944056,1000000,4,4,0,4,"N","N","N",2,"Y","Y","Y","Y","Yes","N","Y","Y",11,"N"
1048701,"WF ACF KY I L.P.",805-8646080599,58421,"","Cayman Islands","N","Y","N","N","",,"N","","N","Private Equity Fund","",41310866,1000000,13,4,96,96,"N","N","N",3,"Y","Y","Y","Y","Yes","N","Y","Y",11,"N"
1050152,"THE SNOWBALL MASTER FUND LTD.",805-2834606803,179446,"","Cayman Islands","N","Y","Y","N","",,"N","","Y","Hedge Fund","",39882774,500000,47,4,45,24,"N","N","Y",0,"Y","Y","Y","Y","Yes","Y","Y","Y",100,"Y"
1050843,"HILLCREST FUND, L.P.",805-6816587993,139742,"","Cayman Islands","N","Y","N","N","",,"N","","N","Private Equity Fund","",36174300,8300000,8,0,47,0,"N","Y","N",0,"Y","Y","N","Y","Yes","N","Y","Y",0,"N"
1050843,"PLEASANT VALLEY INVESTMENTS, L.P.",805-9058402544,139744,"","Cayman Islands","N","Y","N","N","",,"N","","N","Private Equity Fund","",57879600,8300000,4,0,35,1,"N","Y","N",0,"Y","Y","N","Y","Yes","N","Y","Y",0,"N"
1052787,"APERIOS EMERGING CONNECTIVITY MASTER FUND LIMITED",805-5581079085,66395,"","Cayman Islands","N","Y","Y","N","",,"N","","N","Hedge Fund","",88844000,250000,200,5,0,36,"N","N","N",0,"Y","Y","Y","Y","Yes","Y","Y","Y",100,"Y"
1054531,"BULLSEYE MASTER I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS",805-5949016805,159011,"","Brazil","N","Y","N","N","",,"N","","N","Hedge Fund","",35441952,288875,1,0,0,0,"N","N","N",0,"N","N","N","N","","N","Y","Y",100,"N"
1058364,"GC ENTREPRENEURS FUND IV, LP",805-1214325439,26825,"Delaware","United States","N","Y","N","N","",,"N","","N","Venture Capital Fund","",5140195,50000,52,1,0,5,"N","N","N",0,"Y","Y","Y","Y","Yes","N","Y","N",0,"N"
1058364,"GENERAL CATALYST GROUP V, LP",805-6067243774,27048,"Delaware","United States","N","Y","N","N","",,"N","","N","Venture Capital Fund","",784042762,500000,82,1,18,17,"N","N","N",0,"Y","Y","Y","Y","Yes","N","Y","N",0,"N"
