FilingID,Initial SEC Registration Request,Annual Updating Amendment for Registered Adviser,Other-Than Anual Amendment For Registered Adviser,Initial State Registration Request,Initial SEC ERA Report,Annual Updating Amendment ERA Report,Other-Than Annual Amendment ERA Report,Initial State ERA Report,Final State ERA Report, Final SEC ERA Report,Annual Updating Amendment Fiscal Year
1025306,"","Y","","","","","","","","",2016
1025311,"","","Y","","","","","","","",
1025375,"","","Y","","","","","","","",
1025377,"","","","","Y","","","","","",
1025415,"","","","","Y","","","","","",
1025423,"Y","","","","","","","","","",
1025448,"","","Y","","","","","","","",
1025454,"","","Y","","","","","","","",
1025455,"","","Y","","","","","","","",
1025488,"Y","","","","","","","","","",
1025528,"","","Y","","","","","","","",
1025532,"Y","","","","","","","","","",
1025540,"","","","","","","Y","","","",
1025543,"","","","","Y","","","","","",
1025555,"","","Y","","","","","","","",
1025570,"Y","","","","","","","","","",
1025576,"","","Y","","","","","","","",
1025586,"","","Y","","","","","","","",
1025596,"Y","","","","","","","","","",
1025609,"","","","","Y","","","","","",
1025624,"","","Y","","","","","","","",
1025655,"Y","","","","","","","","","",
1025660,"","","Y","","","","","","","",
1025671,"Y","","","","","","","","","",
1025684,"","Y","","","","","","","","",2016
1025689,"","","Y","","","","","","","",
1025693,"","","Y","","","","","","","",
1025740,"Y","","","","","","","","","",
1025764,"","","Y","","","","","","","",
1025767,"Y","","","","","","","","","",
1025770,"","","Y","","","","","","","",
1025788,"","","","","","Y","","","","",2016
1025828,"","","Y","","","","","","","",
1025829,"","","Y","","","","","","","",
1025834,"","Y","","","","","","","","",2016
1025835,"Y","","","","","","","","","",
1025874,"Y","","","","","","","","","",
1025882,"Y","","","","","","","","","",
1025895,"","","Y","","","","","","","",
1025899,"","","Y","","","","","","","",
1025908,"","","","","Y","","","","","",
1025918,"","","Y","","","","","","","",
1025938,"","","","","Y","","","","","",
1025967,"","","Y","","","","","","","",
1025994,"","","Y","","","","","","","",
1026016,"","","Y","","","","","","","",
1026042,"","","","","","Y","","","","",2016
1026044,"","","Y","","","","","","","",
1026061,"","","Y","","","","","","","",
1026078,"Y","","","","","","","","","",
1026089,"","","Y","","","","","","","",
1026098,"","","Y","","","","","","","",
1026104,"","","Y","","","","","","","",
1026113,"Y","","","","","","","","","",
1026134,"","","Y","","","","","","","",
1026179,"","","Y","","","","","","","",
1026201,"","","Y","","","","","","","",
1026219,"","","","","Y","","","","","",
1026232,"","","Y","","","","","","","",
1026242,"Y","","","","","","","","","",
1026243,"","","Y","","","","","","","",
1026255,"","","","","","","Y","","","",
1026263,"","","Y","","","","","","","",
1026297,"","","Y","","","","","","","",
1026326,"Y","","","","","","","","","",
1026332,"","","Y","","","","","","","",
1026344,"","","Y","","","","","","","",
1026351,"","","Y","","","","","","","",
1026352,"","","Y","","","","","","","",
1026384,"","","Y","","","","","","","",
1026409,"","","Y","","","","","","","",
1026490,"","","Y","","","","","","","",
1026533,"","","Y","","","","","","","",
1026549,"","","Y","","","","","","","",
1026571,"","","Y","","","","","","","",
1026578,"","","Y","","","","","","","",
1026587,"","","Y","","","","","","","",
1026599,"","","","","","Y","","","","",2016
1026600,"","","","","","","Y","","","",
1026602,"","","Y","","","","","","","",
1026603,"","","Y","","","","","","","",
1026612,"","","Y","","","","","","","",
1026625,"","","Y","","","","","","","",
1026651,"","","Y","","","","","","","",
1026653,"","","Y","","","","","","","",
1026664,"","","","","","Y","","","","",2016
1026670,"","","Y","","","","","","","",
1026681,"","","Y","","","","","","","",
1026688,"","","Y","","","","","","","",
1026706,"","","Y","","","","","","","",
1026743,"","","","","Y","","","","","",
1026744,"","","Y","","","","","","","",
1026748,"","","Y","","","","","","","",
1026750,"","","Y","","","","","","","",
1026753,"Y","","","","","","","","","",
1026764,"Y","","","","","","","","","",
1026765,"","","Y","","","","","","","",
1026777,"","","Y","","","","","","","",
1026788,"","","Y","","","","","","","",
1026803,"","","Y","","","","","","","",
1026808,"","Y","","","","","","","","",2016
1026830,"","","Y","","","","","","","",
1026832,"","","Y","","","","","","","",
1026845,"","","","","Y","","","","","",
1026847,"","","Y","","","","","","","",
1026851,"","","Y","","","","","","","",
1026877,"","","Y","","","","","","","",
1026881,"","","Y","","","","","","","",
1026886,"","","Y","","","","","","","",
1026913,"","","Y","","","","","","","",
1026936,"","","Y","","","","","","","",
1026940,"","","Y","","","","","","","",
1026944,"","","Y","","","","","","","",
1026945,"","","Y","","","","","","","",
1026957,"","","Y","","","","","","","",
1026958,"","","Y","","","","","","","",
1026970,"","","Y","","","","","","","",
1026973,"","","Y","","","","","","","",
1026975,"","","","","Y","","","","","",
1026994,"","","Y","","","","","","","",
1027001,"","","Y","","","","","","","",
1027006,"","","Y","","","","","","","",
1027008,"","","Y","","","","","","","",
1027016,"","","Y","","","","","","","",
1027026,"","","Y","","","","","","","",
1027031,"","","","","Y","","","","","",
1027036,"","","Y","","","","","","","",
1027039,"","","Y","","","","","","","",
1027043,"","","","","","","Y","","","",
1027055,"","","Y","","","","","","","",
1027058,"Y","","","","","","","","","",
1027079,"","","","","","","Y","","","",
1027084,"","","Y","","","","","","","",
1027091,"","","Y","","","","","","","",
1027095,"","","Y","","","","","","","",
1027098,"","","","","","","Y","","","",
1027107,"","","","","Y","","","","","",
1027109,"","","Y","","","","","","","",
1027144,"","","","","","","Y","","","",
1027149,"Y","","","","","","","","","",
1027156,"","","Y","","","","","","","",
1027161,"","","","Y","","","","","","",
1027162,"","","Y","","","","","","","",
1027183,"","","","","Y","","","","","",
1027195,"","","Y","","","","","","","",
1027202,"Y","","","","","","","","","",
1027210,"","","Y","","","","","","","",
1027212,"","","Y","","","","","","","",
1027241,"Y","","","","","","","","","",
1027244,"","","Y","","","","","","","",
1027248,"Y","","","","","","","","","",
1027249,"","","Y","","","","","","","",
1027254,"","","Y","","","","","","","",
1027272,"","","Y","","","","","","","",
1027292,"","Y","","","","","","","","",2016
1027305,"","","Y","","","","","","","",
1027307,"Y","","","","","","","","","",
1027318,"","","","","Y","","","","","",
1027330,"","","Y","","","","","","","",
1027332,"","","Y","","","","","","","",
1027333,"","","Y","","","","","","","",
1027334,"","","Y","","","","","","","",
1027339,"","","Y","","","","","","","",
1027342,"","","Y","","","","","","","",
1027344,"","","Y","","","","","","","",
1027346,"","","Y","","","","","","","",
1027347,"","","Y","","","","","","","",
1027348,"","","Y","","","","","","","",
1027349,"","","Y","","","","","","","",
1027352,"","","Y","","","","","","","",
1027355,"","","Y","","","","","","","",
1027356,"","","Y","","","","","","","",
1027357,"","","","Y","","","","","","",
1027360,"","","Y","","","","","","","",
1027361,"","","Y","","","","","","","",
1027364,"","","Y","","","","","","","",
1027366,"","","Y","","","","","","","",
1027367,"","","Y","","","","","","","",
1027371,"","","Y","","","","","","","",
1027373,"","","Y","","","","","","","",
1027375,"","","Y","","","","","","","",
1027377,"","","Y","","","","","","","",
1027378,"","","Y","","","","","","","",
1027380,"","","Y","","","","","","","",
1027381,"","","Y","","","","","","","",
1027382,"","","Y","","","","","","","",
1027383,"","","Y","","","","","","","",
1027384,"","","Y","","","","","","","",
1027385,"","","","","","","Y","","","",
1027386,"","","Y","","","","","","","",
1027388,"","","Y","","","","","","","",
1027389,"","","Y","","","","","","","",
1027390,"","","Y","","","","","","","",
1027392,"","","Y","","","","","","","",
1027395,"","","Y","","","","","","","",
1027396,"","","Y","","","","","","","",
1027397,"","Y","","","","","","","","",2016
1027400,"","","Y","","","","","","","",
1027406,"Y","","","","","","","","","",
1027407,"","","Y","","","","","","","",
1027408,"","","Y","","","","","","","",
1027410,"","","Y","","","","","","","",
1027412,"","","Y","","","","","","","",
1027415,"","","Y","","","","","","","",
1027416,"","","Y","","","","","","","",
1027418,"","","Y","","","","","","","",
1027419,"","","Y","","","","","","","",
1027421,"Y","","","","","","","","","",
1027423,"","","Y","","","","","","","",
1027429,"","","Y","","","","","","","",
1027432,"","","Y","","","","","","","",
1027433,"","","Y","","","","","","","",
1027435,"","","Y","","","","","","","",
1027437,"","","Y","","","","","","","",
1027439,"","","Y","","","","","","","",
1027440,"","","Y","","","","","","","",
1027441,"","","","","","","Y","","","",
1027445,"","","Y","","","","","","","",
1027446,"","","Y","","","","","","","",
1027449,"","","Y","","","","","","","",
1027456,"","","Y","","","","","","","",
1027457,"","","Y","","","","","","","",
1027458,"","","Y","","","","","","","",
1027459,"","","Y","","","","","","","",
1027465,"","","Y","","","","","","","",
1027466,"","","Y","","","","","","","",
1027467,"","","Y","","","","","","","",
1027470,"","","Y","","","","","","","",
1027476,"","","Y","","","","","","","",
1027478,"","","Y","","","","","","","",
1027480,"","","Y","","","","","","","",
1027481,"","","Y","","","","","","","",
1027483,"","","Y","","","","","","","",
1027484,"","","Y","","","","","","","",
1027485,"","","Y","","","","","","","",
1027488,"","","Y","","","","","","","",
1027490,"","","Y","","","","","","","",
1027491,"","","Y","","","","","","","",
1027492,"","","Y","","","","","","","",
1027493,"","","Y","","","","","","","",
1027495,"","","Y","","","","","","","",
1027497,"","","Y","","","","","","","",
1027500,"","","Y","","","","","","","",
1027503,"","","Y","","","","","","","",
1027504,"","","Y","","","","","","","",
1027506,"","","Y","","","","","","","",
1027509,"","","Y","","","","","","","",
1027510,"","","Y","","","","","","","",
1027515,"","","Y","","","","","","","",
1027517,"","","Y","","","","","","","",
1027518,"","","Y","","","","","","","",
1027519,"","","Y","","","","","","","",
1027539,"","","Y","","","","","","","",
1027543,"","","Y","","","","","","","",
1027546,"","","Y","","","","","","","",
1027547,"","","Y","","","","","","","",
1027548,"","","","","","","Y","","","",
1027549,"","","","","","","Y","","","",
1027552,"","","","","","Y","","","","",2016
1027556,"","","Y","","","","","","","",
1027563,"","","Y","","","","","","","",
1027565,"","","Y","","","","","","","",
1027566,"","","Y","","","","","","","",
1027567,"","","Y","","","","","","","",
1027568,"","","","","","","Y","","","",
1027569,"","","Y","","","","","","","",
1027570,"","","Y","","","","","","","",
1027571,"","","Y","","","","","","","",
1027572,"","","Y","","","","","","","",
1027573,"","","Y","","","","","","","",
1027574,"","","Y","","","","","","","",
1027576,"","","Y","","","","","","","",
1027577,"","","Y","","","","","","","",
1027578,"","","Y","","","","","","","",
1027580,"","Y","","","","","","","","",2015
1027588,"","","Y","","","","","","","",
1027592,"","","Y","","","","","","","",
1027593,"","","Y","","","","","","","",
1027594,"","","Y","","","","","","","",
1027595,"","","Y","","","","","","","",
1027599,"","","Y","","","","","","","",
1027602,"","","Y","","","","","","","",
1027606,"","","Y","","","","","","","",
1027607,"","","Y","","","","","","","",
1027610,"","","Y","","","","","","","",
1027611,"","","Y","","","","","","","",
1027617,"","","Y","","","","","","","",
1027622,"","","Y","","","","","","","",
1027628,"","","Y","","","","","","","",
1027633,"Y","","","","","","","","","",
1027635,"","","Y","","","","","","","",
1027638,"","","Y","","","","","","","",
1027639,"","","Y","","","","","","","",
1027640,"","","Y","","","","","","","",
1027641,"","","Y","","","","","","","",
1027642,"","","Y","","","","","","","",
1027644,"","","Y","","","","","","","",
1027648,"","","Y","","","","","","","",
1027650,"","","Y","","","","","","","",
1027653,"","","Y","","","","","","","",
1027655,"","","Y","","","","","","","",
1027660,"","","","","Y","","","","","",
1027663,"","","Y","","","","","","","",
1027664,"","","Y","","","","","","","",
1027666,"","","Y","","","","","","","",
1027667,"","","Y","","","","","","","",
1027669,"","","","","","","Y","","","",
1027670,"","","Y","","","","","","","",
1027671,"","","Y","","","","","","","",
1027674,"","","Y","","","","","","","",
1027677,"","","Y","","","","","","","",
1027678,"","","Y","","","","","","","",
1027683,"","","Y","","","","","","","",
1027690,"","","Y","","","","","","","",
1027694,"","","Y","","","","","","","",
1027695,"","","Y","","","","","","","",
1027704,"","","Y","","","","","","","",
1027707,"","","Y","","","","","","","",
1027709,"","","Y","","","","","","","",
1027711,"","","Y","","","","","","","",
1027713,"","","Y","","","","","","","",
1027718,"","","Y","","","","","","","",
1027719,"","","Y","","","","","","","",
1027721,"","","","","","","Y","","","",
1027728,"","","Y","","","","","","","",
1027729,"","","Y","","","","","","","",
1027732,"","","Y","","","","","","","",
1027734,"","","","","Y","","","","","",
1027735,"","","Y","","","","","","","",
1027736,"","","Y","","","","","","","",
1027737,"","","Y","","","","","","","",
1027738,"","","Y","","","","","","","",
1027739,"","","Y","","","","","","","",
1027740,"","","Y","","","","","","","",
1027743,"","","Y","","","","","","","",
1027744,"","","Y","","","","","","","",
1027746,"","","Y","","","","","","","",
1027752,"","","Y","","","","","","","",
1027753,"","","Y","","","","","","","",
1027755,"","","Y","","","","","","","",
1027758,"","","Y","","","","","","","",
1027766,"","","Y","","","","","","","",
1027768,"","","Y","","","","","","","",
1027770,"","","Y","","","","","","","",
1027771,"","","Y","","","","","","","",
1027776,"","","Y","","","","","","","",
1027779,"Y","","","","","","","","","",
1027780,"","","Y","","","","","","","",
1027782,"","","Y","","","","","","","",
1027784,"","","Y","","","","","","","",
1027787,"","","Y","","","","","","","",
1027790,"","","Y","","","","","","","",
1027792,"","","Y","","","","","","","",
1027794,"","","Y","","","","","","","",
1027796,"","","Y","","","","","","","",
1027797,"","","Y","","","","","","","",
1027802,"","","Y","","","","","","","",
1027806,"","","Y","","","","","","","",
1027816,"","","","","Y","","","","","",
1027817,"","","Y","","","","","","","",
1027820,"","","","","","","Y","","","",
1027823,"","","Y","","","","","","","",
1027825,"","","Y","","","","","","","",
1027826,"","","Y","","","","","","","",
1027827,"","","","","","","Y","","","",
1027831,"","","Y","","","","","","","",
1027832,"","","Y","","","","","","","",
1027833,"","","","","","","Y","","","",
1027838,"","","Y","","","","","","","",
1027841,"","","Y","","","","","","","",
1027842,"","","Y","","","","","","","",
1027843,"","","Y","","","","","","","",
1027846,"Y","","","","","","","","","",
1027847,"","","Y","","","","","","","",
1027848,"","","Y","","","","","","","",
1027852,"","","Y","","","","","","","",
1027853,"","","Y","","","","","","","",
1027858,"","","Y","","","","","","","",
1027860,"","","Y","","","","","","","",
1027862,"","","Y","","","","","","","",
1027866,"","","Y","","","","","","","",
1027868,"","","Y","","","","","","","",
1027869,"","","Y","","","","","","","",
1027871,"","","Y","","","","","","","",
1027875,"","","Y","","","","","","","",
1027878,"","","Y","","","","","","","",
1027879,"","","","","","","Y","","","",
1027882,"","","Y","","","","","","","",
1027885,"","","Y","","","","","","","",
1027889,"","","","","Y","","","","","",
1027891,"","","Y","","","","","","","",
1027894,"","","Y","","","","","","","",
1027901,"","","Y","","","","","","","",
1027904,"Y","","","","","","","","","Y",
1027905,"Y","","","","","","","","","",
1027906,"Y","","","","","","","","","",
1027907,"","","Y","","","","","","","",
1027911,"","","Y","","","","","","","",
1027914,"","","Y","","","","","","","",
1027916,"","","","","","","Y","","","",
1027920,"","","Y","","","","","","","",
1027921,"","","Y","","","","","","","",
1027926,"","","Y","","","","","","","",
1027928,"","","Y","","","","","","","",
1027938,"","","Y","","","","","","","",
1027939,"","","Y","","","","","","","",
1027940,"","","Y","","","","","","","",
1027942,"","","Y","","","","","","","",
1027943,"","","Y","","","","","","","",
1027944,"","","Y","","","","","","","",
1027949,"","","Y","","","","","","","",
1027950,"","","Y","","","","","","","",
1027953,"","","Y","","","","","","","",
1027956,"","","Y","","","","","","","",
1027960,"","","Y","","","","","","","",
1027967,"","","Y","","","","","","","",
1027970,"","","Y","","","","","","","",
1027971,"","","Y","","","","","","","",
1027972,"","","","","","","Y","","","",
1027973,"Y","","","","","","","","","",
1027974,"","","","","Y","","","","","",
1027977,"","","Y","","","","","","","",
1027978,"","","Y","","","","","","","",
1027980,"","","Y","","","","","","","",
1027982,"","","","","","","Y","","","",
1027983,"","","","","Y","","","","","",
1027985,"","","Y","","","","","","","",
1027986,"","","Y","","","","","","","",
1027987,"","","Y","","","","","","","",
1027991,"","","Y","","","","","","","",
1027996,"","","","Y","","","","","","",
1028004,"","","Y","","","","","","","",
1028008,"","","Y","","","","","","","",
1028011,"","","Y","","","","","","","",
1028021,"","","Y","","","","","","","",
1028022,"","","Y","","","","","","","",
1028026,"","","Y","","","","","","","",
1028028,"","","Y","","","","","","","",
1028030,"","","Y","","","","","","","",
1028033,"","","","","","Y","","","","",2015
1028036,"","","Y","","","","","","","",
1028039,"","","Y","","","","","","","",
1028041,"","","Y","","","","","","","",
1028043,"","","Y","","","","","","","",
1028044,"","","Y","","","","","","","",
1028046,"","","Y","","","","","","","",
1028047,"","","Y","","","","","","","",
1028050,"","","","","Y","","","","","",
1028053,"","","Y","","","","","","","",
1028058,"","","Y","","","","","","","",
1028061,"","","Y","","","","","","","",
1028062,"","","Y","","","","","","","",
1028065,"","","Y","","","","","","","",
1028072,"","","Y","","","","","","","",
1028073,"","","Y","","","","","","","",
1028078,"","","Y","","","","","","","",
1028082,"","","","","Y","","","Y","","",
1028084,"","","Y","","","","","","","",
1028088,"","","Y","","","","","","","",
1028089,"","","Y","","","","","","","",
1028092,"","","Y","","","","","","","",
1028093,"","","","","","","Y","","","",
1028094,"","","Y","","","","","","","",
1028095,"","","Y","","","","","","","",
1028096,"","","Y","","","","","","","",
1028097,"","","","","","","","","","Y",
1028102,"","","Y","","","","","","","",
1028103,"","","","","","Y","","","","",2016
1028104,"","","Y","","","","","","","",
1028105,"","","Y","","","","","","","",
1028106,"","","","","","Y","","","","",2016
1028107,"","","Y","","","","","","","",
1028109,"","","Y","","","","","","","",
1028112,"","","Y","","","","","","","",
1028115,"","","Y","","","","","","","",
1028117,"","","","","","","Y","","","",
1028122,"","","Y","","","","","","","",
1028123,"","","Y","","","","","","","",
1028124,"","","Y","","","","","","","",
1028131,"","","Y","","","","","","","",
1028132,"","","Y","","","","","","","",
1028134,"","","Y","","","","","","","",
1028136,"","","Y","","","","","","","",
1028138,"","","Y","","","","","","","",
1028140,"","","Y","","","","","","","",
1028142,"","","Y","","","","","","","",
1028143,"","","Y","","","","","","","",
1028145,"","","Y","","","","","","","",
1028147,"","","Y","","","","","","","",
