"FilingID","Other Products and Services","Business Name"
"663077","SATURN CAPITAL, INC., AN AFFILIATE OF SATURN MANAGEMENT, MAY SELL PRIVATE SECURITIES (ISSUED IN A PRIVATE PLACEMENT) TO THE CLIENT.","SATURN CAPITAL, INC. IS A REGISTERED BROKER-DEALER AND AN AFFILIATE OF SATURN MANAGEMENT."
"658279","LLOYDS TSB BANK PLC ALSO PROVIDES HEDGING. ADMINISTRATIVE, LETTER OF CREDIT, LIQUIDITY AND OTHER LENDING FACILITIES (WHICH MAY INCLUDE REPURCHASE ARRANGEMENTS) TO CANCARA AND ARGENTO THE PRIVATE FUNDS DESCRIBED IN SECTION 7B(1)",""
"658292","'BANK OF SCOTLAND PLC ALSO PROVIDES HEDGING. ADMINISTRATIVE, LETTER OF CREDIT, LIQUIDITY AND OTHER LENDING FACILITIES (WHICH MAY INCLUDE REPURCHASE ARRANGEMENTS) TO GRAMPIAN'THE PRIVATE FUND DESCRIBED IN SECTION 7B(1)",""
"672387","ADMINISTRATIVE AND MINISTERIAL SERVICES.",""
"671975","LIFE INSURANCE, HEALTH INSURANCE, ANNUITIES",""
"668111","SEE RESPONSE TO SECTION 6.B(2) ABOVE.",""
"674708","ADMINISTRATIVE AND MINISTERIAL SERVICES.",""
"676389","WE ARE THE MANAGER OF TRIBRIDGE EQUITY PARTNERS I, LLC, WHICH IS A FUND THAT INVESTMENTS IN MULTIFAMILY REAL ESTATE LOCATED PRIMARILY IN THE SOUTHEASTERN UNITED STATES.  OUR CLIENTS ARE INVESTORS IN THE FUND.",""
"677046","LIFE INSURANCE, HEALTH INSURANCE, ANNUITIES",""
"678605","'BANK OF SCOTLAND PLC ALSO PROVIDES HEDGING. ADMINISTRATIVE, LETTER OF CREDIT, LIQUIDITY AND OTHER LENDING FACILITIES (WHICH MAY INCLUDE REPURCHASE ARRANGEMENTS) TO GRAMPIAN'THE PRIVATE FUND DESCRIBED IN SECTION 7B(1)",""
"678388","THE ADVISER PROVIDES THE FOLLOWING OTHER SERVICES TO CERTAIN CLIENTS:  1. STRATEGY FOR NEW FUNDS/BUSINESSES; 2. FINANCIAL AND INTERNAL CONTROL PROCESSES - ASSESSMENT AND OVERSIGHT; AND 3. ASSISTANCE AND ADVICE ON FINANCIAL AND SOCIAL REPORTING.",""
