"FilingID","Other Products and Services","Business Name"
"791183","SEE ITEM 6.B.(2).",""
"777980","INVESTMENT MANAGEMENT",""
"783796","WE PROVIDE ANCILLARY ACCOUNTING AND LEGAL SERVICES TO OUR CLIENTS AS PART OF OUR INVESTMENT ADVISORY SERVICES.",""
"795284","BLACKROCK INVESTMENT MANAGEMENT (UK) LTD. PROVIDES REAL ESTATE INVESTMENT SERVICES. THE REAL ESTATE SERVICES ARE PRINCIPALLY RELATED TO THE ACQUISITION, DISPOSITION AND SUPERVISION OF MANAGEMENT AND IMPROVEMENT OF REAL ESTATE INVESTMENTS FOR ITS CLIENTS.",""
"786622","BROAD MANAGEMENT, ADMINISTRATION AND DISTRIBUTION SERVICES TO A NUMBER OF PRIVATE FUND CLIENTS ALTHOUGH THE MAJORITY OF SUCH SERVICES ARE OUTSOURCED TO OTHER ENTITIES.",""
"796766","SEE RESPONSE TO SECTION 6.B(2) ABOVE.",""
"796214","ORBIS ASSET MANAGEMENT LIMITED SERVES AS GENERAL PARTNER OF FOUR POOLED INVESTMENT VEHICLES THAT ARE ITS ADVISORY CLIENTS.",""
"791251","PINEBRIDGE INVESTMENTS ASIA LIMITED ENGAGES IN FUND DISTRIBUTION BUSINESS.",""
"810831","NON-EXCLUSIVE SALES AGENT IN RESPECT OF THE SHARES AND INTERESTS (AS APPLICABLE) OF ITS CLIENTS, IN MONACO",""
"802087","AN AFFILIATE IN JAPAN PROVIDES ASSET MANAGEMENT SERVICES TO ADVISORY CLIENTS AND OTHER NON ADVISORY CLIENT PARTIES. (LICENSED BY JAPAN MINISTRY OF JUSTICE)","SECURED CAPITAL SERVICING CO. LTD."
"787101","REINSURANCE MANAGEMENT SERVICES.",""
"783663","ACTING AS ADMINISTRATIVE AGENT ON BANK LOAN AGREEMENTS",""
"795941","PROVIDE BUSINESS CONSULTING SERVICES TO CERTAIN PORTFOLIO COMPANIES.",""
"812016","PROVIDES ADMINISTRATIVE SUPPORT SERVICES TO INVESTMENT ADVISORY CLIENTS AND RELATED ENTITIES.  OFFERED AS PART OF THE SOFT WIND DOWN SERVICES PROVIDED TO ENTITIES IN RUN OFF OR LIQUIDATION. INCLUDES FUND ACCOUNTING, INVESTOR SERVICES FUNCTIONS.",""
"797696","SAME AS 6.B.(2)",""
"783242","LLOYDS BANK PLC ALSO PROVIDES HEDGING. ADMINISTRATIVE, LETTER OF CREDIT, LIQUIDITY AND OTHER LENDING FACILITIES (WHICH MAY INCLUDE REPURCHASE ARRANGEMENTS) TO CANCARA  THE PRIVATE FUND DESCRIBED IN SECTION 7B(1)",""
"809606","THE COMPANY ALSO PROVIDES FUND ADMINISTRATION SERVICES TO THE FUNDS IT ADVISES AND TO PRIVATE FUNDS ADVISED BY SCOTTISH WIDOWS INVESTMENT PARTNERSHIP (SWIP).  THESE PRIVATE FUNDS ARE REPORTED ON THE ADV 1 OF SWIP.",""
"812472","PROVIDE CONSULTING SERVICES INCLUDING ASIAN HEDGE FUND DUE DILIGENCE AND HEDGE FUND BUSINESS BUILDING.",""
"810418","WE PROVIDE MENTORING AND ADVISORY SERVICES FOR THE ENTREPRENEURIAL ECOSYSTEM, AS WELL AS ACCESS TO WORLD CLASS SPEAKERS AND EVENTS.",""
"805971","CONSULTING SERVICES",""
"812267","BANKERS SOUTH LENDING & FINANCE, A LICENSED MORTGAGE LENDER AND BROKER, ORIGINATES LOANS, SERVICES LOANS, PROVIDES UNDERWRITING AND DUE DILIGENCE SERVICES FOR THE FUNDS ASSETS.",""
"812691","VALUATION RELATED SERVICES AND LITIGATION SUPPORT","CAPSTONE VALUATION SERVICES, LLC"
"812945","AULDBRASS PARTNERS, LP PROVIDES PORTFOLIO MONITORING SERVICES. SUCH SERVICES ARE ADMINISTRATIVE AND INCLUDE ATTENDING MEETINGS AND CATEGORIZING INFORMATION WITH RESPECT TO INVESTMENTS IN THE CLIENT'S PORTFOLIO.",""
"818141","FUND ADMINISTRATION (E.G. CAPITAL CALLS AND DISTRIBUTIONS, DISTRIBUTION OF ANNUAL REPORTS AND K-1'S)","LEVERPOINT MANAGEMENT, LLC"
"817674","PROVIDE BUSINESS CONSULTING SERVICES TO CERTAIN PORTFOLIO COMPANIES.",""
"819222","THE ADVISER PROVIDES THE FOLLOWING OTHER SERVICES TO CERTAIN CLIENTS:  1. STRATEGY FOR NEW FUNDS/BUSINESSES; 2. FINANCIAL AND INTERNAL CONTROL PROCESSES - ASSESSMENT AND OVERSIGHT; AND 3. ASSISTANCE AND ADVICE ON FINANCIAL AND SOCIAL REPORTING.",""
"817823","NON-EXCLUSIVE SALES AGENT IN RESPECT OF THE SHARES AND INTERESTS (AS APPLICABLE) OF ITS CLIENTS, IN MONACO",""
"819220","BLACKROCK INVESTMENT MANAGEMENT (UK) LTD. PROVIDES REAL ESTATE INVESTMENT SERVICES. THE REAL ESTATE SERVICES ARE PRINCIPALLY RELATED TO THE ACQUISITION, DISPOSITION AND SUPERVISION OF MANAGEMENT AND IMPROVEMENT OF REAL ESTATE INVESTMENTS FOR ITS CLIENTS.",""
"822404","AIFML IS THE GLOBAL DISTRIBUTOR FOR ABERDEEN'S LUXEMBOURG DOMICILED UCITS FUNDS AND IS RESPONSIBLE FOR THE APPOINTMENT OF SUB-DISTRIBUTORS IN COUNTRIES AROUND THE WORLD FOR THE FUNDS' DISTRIBUTION.",""
"786267","THE ADVISORY CLIENTS OF ARIXA MANAGEMENT, LLC, INVEST IN PRIVATE LOANS SECURED BY REAL ESTATE.  AN AFFILIATE OF THE INVESTMENT ADVISER ORIGINATES THE LOANS IN WHICH THE ADVISORY CLIENTS INVEST AND IS COMPENSATED FOR THIS SERVICE.","ARIXA CAPITAL ADVISORS, LLC"
"823448","NON-EXCLUSIVE SALES AGENT IN RESPECT OF THE SHARES AND INTERESTS (AS APPLICABLE) OF ITS CLIENTS, IN MONACO",""
"807815","VENTURE CAPITAL MANAGEMENT SERVICES INCLUDING REPORTING, CONCLUDING TRANSACTIONS AND FUND ADMINISTRATION",""
"824984","THE COMPANY ALSO PROVIDES FUND ADMINISTRATION SERVICES TO THE FUNDS IT ADVISES AND TO PRIVATE FUNDS ADVISED BY SCOTTISH WIDOWS INVESTMENT PARTNERSHIP (SWIP).  THESE PRIVATE FUNDS ARE REPORTED ON THE ADV 1 OF SWIP.",""
"823420","ADMINISTRATIVE AND MINISTERIAL SERVICES.",""
"827620","ABERDEEN GLOBAL SERVICES SA (AGS) ALSO PROVIDES DOMICILIARY AND LISTING AGENCY SERVICES TO ALL THE FUNDS FOR WHICH IT IS APPOINTED MANAGEMENT COMPANY.",""
"827911","BLACKROCK INVESTMENT MANAGEMENT (UK) LTD. PROVIDES REAL ESTATE INVESTMENT SERVICES. THE REAL ESTATE SERVICES ARE PRINCIPALLY RELATED TO THE ACQUISITION, DISPOSITION AND SUPERVISION OF MANAGEMENT AND IMPROVEMENT OF REAL ESTATE INVESTMENTS FOR ITS CLIENTS.",""
"826605","INVESTMENT / ADVISORY SERVICES FOR HOLDINGS","CHASM CAPITAL LLC"
"825478","ADMINISTRATIVE AND MINISTERIAL SERVICES.",""
"832785","AN AFFILIATE IN JAPAN PROVIDES ASSET MANAGEMENT SERVICES TO ADVISORY CLIENTS AND OTHER NON ADVISORY CLIENT PARTIES. (LICENSED BY JAPAN MINISTRY OF JUSTICE)","SECURED CAPITAL SERVICING CO. LTD."
"830063","OUR CLIENTS ARE PRIVATE FUNDS AND IN ADDITION TO PROVIDING THEM WITH INVESTMENT ADVICE, WE PROVIDE BOOKKEEPING, ACCOUNTING AND GENERAL ADMINISTRATION SERVICES TO THEM.",""
"833686","AIFML IS THE GLOBAL DISTRIBUTOR FOR ABERDEEN'S LUXEMBOURG DOMICILED UCITS FUNDS AND IS RESPONSIBLE FOR THE APPOINTMENT OF SUB-DISTRIBUTORS IN COUNTRIES AROUND THE WORLD FOR THE FUNDS' DISTRIBUTION.",""
"832781","REAL ESTATE DEVELOPMENT: DEVELOPS LAND OR BUILDINGS TO INCREASE THEIR VALUE; BRING TO A MORE ADVANCED OR EFFECTIVE STATE: RENOVATION, RE-LEASE, OR SALE EXISTING BUILDINGS; TO THE PURCHASE OF RAW LAND AND THE SALE  OF IMPROVED LAND OR PARCELS TO OTHERS.",""
"834604","BACK-OFFICE, ADMINISTRATIVE SUPPORT, RECORD KEEPING, REPORTING, DUE DILIGENCE",""
"835680","EXECUTION ONLY SERVICES. ALSO, SERVICES THAT RELATE TO ETHICAL INVESTING AND RESPONSIBLE SHAREHOLDER VOTING AND ENGAGEMENT.",""
"835703","INVESTMENT MANAGEMENT SERVICES",""
"837275","ACTING AS ADMINISTRATIVE AGENT ON BANK LOAN AGREEMENTS",""
"837468","PROVIDE REAL ESTATE LOANS AND THE SALE OF REAL ESTATE SECURED MORTGAGE LOANS AND DEEDS OF TRUST",""
"837794","LLOYDS BANK PLC ALSO PROVIDES HEDGING. ADMINISTRATIVE, LETTER OF CREDIT, LIQUIDITY AND OTHER LENDING FACILITIES (WHICH MAY INCLUDE REPURCHASE ARRANGEMENTS) TO CANCARA  THE PRIVATE FUND DESCRIBED IN SECTION 7B(1)",""
"831251","IN ADDITION TO ADVISORY SERVICES, WE PROVIDE DEVELOPMENT MANAGEMENT SERVICES TO CLIENTS.",""
"838348","AIFML IS THE GLOBAL DISTRIBUTOR FOR ABERDEEN'S LUXEMBOURG DOMICILED UCITS FUNDS AND IS RESPONSIBLE FOR THE APPOINTMENT OF SUB-DISTRIBUTORS IN COUNTRIES AROUND THE WORLD FOR THE FUNDS' DISTRIBUTION.",""
"838224","TRADING AND COMPLIANCE TECHNOLOGY TOOLS","TRILLIUM LABS, LLC"
"839336","LLOYDS BANK PLC ALSO PROVIDES HEDGING. ADMINISTRATIVE, LETTER OF CREDIT, LIQUIDITY AND OTHER LENDING FACILITIES (WHICH MAY INCLUDE REPURCHASE ARRANGEMENTS) TO CANCARA  THE PRIVATE FUND DESCRIBED IN SECTION 7B(1)",""
"835207","THE FIRM PROVIDES REAL ESTATE UNDERWRITING SERVICES TO ITS INVESTMENT ADVISORY CLIENTS",""
"844465","THE COMPANY ALSO PROVIDES FUND ADMINISTRATION SERVICES TO THE FUNDS IT ADVISES AND TO PRIVATE FUNDS ADVISED BY SCOTTISH WIDOWS INVESTMENT PARTNERSHIP (SWIP).  THESE PRIVATE FUNDS ARE REPORTED ON THE ADV 1 OF SWIP.",""
"846421","THE COMPANY ALSO PROVIDES FUND ADMINISTRATION SERVICES TO THE FUNDS IT ADVISES AND TO PRIVATE FUNDS ADVISED BY SCOTTISH WIDOWS INVESTMENT PARTNERSHIP (SWIP).  THESE PRIVATE FUNDS ARE REPORTED ON THE ADV 1 OF SWIP.",""
"846049","WE PROVIDE CERTAIN NON-INVESTMENT ADVISORY SERVICES TO OUR CLIENTS, INCLUDING ACCOUNTING, REPORTING, REGULATORY COMPLIANCE, TREASURY AND OPERATIONS, CORPORATE GOVERNANCE, INVESTMENT ADMINISTRATION AND GENERAL ADMINISTRATION SERVICES.",""
"844373","IN ADDITION TO PROVIDING MANAGEMENT AND COMMODITY POOL OPERATOR SERVICES TO OUR ADVISORY CLIENTS, WE ALSO PROVIDE MANAGEMENT, CORPORATE ADMINISTRATION AND FUND ADMINISTRATION SERVICES TO OUR NON-ADVISORY CLIENTS.",""
"830029","BLACKROCK INVESTMENT MANAGEMENT (UK) LTD. PROVIDES REAL ESTATE INVESTMENT SERVICES. THE REAL ESTATE SERVICES ARE PRINCIPALLY RELATED TO THE ACQUISITION, DISPOSITION AND SUPERVISION OF MANAGEMENT AND IMPROVEMENT OF REAL ESTATE INVESTMENTS FOR ITS CLIENTS.",""
"850252","BLACKROCK INVESTMENT MANAGEMENT (UK) LTD. PROVIDES REAL ESTATE INVESTMENT SERVICES. THE REAL ESTATE SERVICES ARE PRINCIPALLY RELATED TO THE ACQUISITION, DISPOSITION AND SUPERVISION OF MANAGEMENT AND IMPROVEMENT OF REAL ESTATE INVESTMENTS FOR ITS CLIENTS.",""
"847574","CORPORATE FINANCE ADVISORY SERVICES",""
"847737","PENSION ADMINISTRATION; TRUST COMPANY AND ADMINISTRATION",""
"853656","PRIVATE EQUITY INVESTMENT MONITORING SERVICES",""
"856927","ABERDEEN GLOBAL SERVICES SA (AGS) ALSO PROVIDES DOMICILIARY AND LISTING AGENCY SERVICES TO ALL THE FUNDS FOR WHICH IT IS APPOINTED MANAGEMENT COMPANY.",""
"858312","MARKETING OF FUNDS OUTSIDE OF THE UNITED STATES",""
"860343","ACTING AS ADMINISTRATIVE AGENT ON BANK LOAN AGREEMENTS",""
"843764","REAL ESTATE MANAGEMENT, DEVELOPMENT AND BROKERAGE SERVICES, INCLUDING AS A COMPONENT OF THOSE SERVICES LEGAL, ACCOUNTING, INFORMATION TECHNOLOGY, MARKETING AND ARCHITECTURAL SERVICES.","STERLING BAY COMPANIES, LLC; STERLING BAY PROPERTY MANAGEMENT, LLC; STERLING BAY DEVELOPMENT MGMT, LLC; STERLING BAY REALTY, LLC"
"856689","ARDGLASS PARTNERS, LLC IS THE ADMINISTRATIVE AGENT TO MUNDANE MASTER, LTD., MUNDANE (USA) PARTNERS, L.P. AND MUNDANE INTERNATIONAL, LTD. ARDGLASS PERFORMS VARIOUS ADMINISTRATIVE SERVICES INCLUDING INVESTOR RELATIONS AND SERVICE PROVIDER RELATIONS.",""
"849460","BROAD MANAGEMENT, ADMINISTRATION AND DISTRIBUTION SERVICES TO A NUMBER OF PRIVATE FUND CLIENTS ALTHOUGH THE MAJORITY OF SUCH SERVICES ARE OUTSOURCED TO OTHER ENTITIES.",""
"862332","AIFML IS THE GLOBAL DISTRIBUTOR FOR ABERDEEN'S LUXEMBOURG DOMICILED UCITS FUNDS AND IS RESPONSIBLE FOR THE APPOINTMENT OF SUB-DISTRIBUTORS IN COUNTRIES AROUND THE WORLD FOR THE FUNDS' DISTRIBUTION.",""
"850406","LIFE AND HEALTH INSURANCE, FIXED ANNUITIES",""
"870648","EXECUTION ONLY SERVICES. ALSO, SERVICES THAT RELATE TO ETHICAL INVESTING AND RESPONSIBLE SHAREHOLDER VOTING AND ENGAGEMENT.",""
"871833","ADVISORY",""
"872484","ACTING AS ADMINISTRATIVE AGENT ON BANK LOAN AGREEMENTS",""
"872110","EXECUTION ONLY SERVICES. ALSO, SERVICES THAT RELATE TO ETHICAL INVESTING AND RESPONSIBLE SHAREHOLDER VOTING AND ENGAGEMENT.",""
"863398","BLACKROCK INVESTMENT MANAGEMENT (UK) LTD. PROVIDES REAL ESTATE INVESTMENT SERVICES. THE REAL ESTATE SERVICES ARE PRINCIPALLY RELATED TO THE ACQUISITION, DISPOSITION AND SUPERVISION OF MANAGEMENT AND IMPROVEMENT OF REAL ESTATE INVESTMENTS FOR ITS CLIENTS.",""
"880144","THE COMPANY ALSO PROVIDES FUND ADMINISTRATION SERVICES TO THE FUNDS IT ADVISES AND TO PRIVATE FUNDS ADVISED BY SCOTTISH WIDOWS INVESTMENT PARTNERSHIP (SWIP).  THESE PRIVATE FUNDS ARE REPORTED ON THE ADV 1 OF SWIP.",""
"884300","PROVIDE REAL ESTATE LOANS AND THE SALE OF REAL ESTATE SECURED MORTGAGE LOANS AND DEEDS OF TRUST",""
"884691","CONSULTING SERVICES",""
"885213","THE ADVISER PROVIDES THE FOLLOWING OTHER SERVICES TO CERTAIN CLIENTS:  1. STRATEGY FOR NEW FUNDS/BUSINESSES; 2. FINANCIAL AND INTERNAL CONTROL PROCESSES - ASSESSMENT AND OVERSIGHT; AND 3. ASSISTANCE AND ADVICE ON FINANCIAL AND SOCIAL REPORTING.",""
"885883","INVESTIGATIVE DUE DILIGENCE; FRAUD INVESTIGATIONS; RISK MANAGEMENT AND MITIGATION STRATEGIES AND SOLUTIONS; BUSINESS OPERATIONS SUPPORT; RESEARCH AND DEVELOPMENT; PROJECT MANAGEMENT.",""
"869947","WE PROVIDE MENTORING AND ADVISORY SERVICES FOR THE ENTREPRENEURIAL ECOSYSTEM, AS WELL AS ACCESS TO WORLD CLASS SPEAKERS AND EVENTS.","ENTERPRIZE EVENTS, INC."
"887801","WE PROVIDE MENTORING AND ADVISORY SERVICES FOR THE ENTREPRENEURIAL ECOSYSTEM, AS WELL AS ACCESS TO WORLD CLASS SPEAKERS AND EVENTS.","ENTERPRIZE EVENTS, INC."
"888048","WYNN-CROSBY MANAGEMENT, LTD. MANAGES, OPERATES, DEVELOPS, ACQUIRES AND OTHERWISE DEALS IN OIL AND NATURAL GAS PROPERTIES, INTERESTS AND RELATED ASSETS.",""
"889243","REPORTING AND ADMINISTRATIVE SERVICES",""
"881611","NON-EXCLUSIVE SALES AGENT IN RESPECT OF THE SHARES AND INTERESTS (AS APPLICABLE) OF ITS CLIENTS, IN MONACO",""
"888351","ARDGLASS PARTNERS, LLC IS THE ADMINISTRATIVE AGENT TO MUNDANE MASTER, LTD., MUNDANE (USA) PARTNERS, L.P. AND MUNDANE INTERNATIONAL, LTD. ARDGLASS PERFORMS VARIOUS ADMINISTRATIVE SERVICES INCLUDING INVESTOR RELATIONS AND SERVICE PROVIDER RELATIONS.",""
