"FilingID","ReferenceID","Foreign Regulatory Authority"
"964702","70364","Ireland -  Central Bank of Ireland"
"964154","27513","Cayman Islands - Cayman Islands Monetary Authority"
"964154","27298","Cayman Islands - Cayman Islands Monetary Authority"
"964592","1426","British Virgin Islands - British Virgin Islands Financial Services Commission"
"964592","1425","British Virgin Islands - British Virgin Islands Financial Services Commission"
"965033","1409","British Virgin Islands - British Virgin Islands Financial Services Commission"
"965033","1410","British Virgin Islands - British Virgin Islands Financial Services Commission"
"965024","1414","British Virgin Islands - British Virgin Islands Financial Services Commission"
"965024","1415","British Virgin Islands - British Virgin Islands Financial Services Commission"
"952317","59648","Cayman Islands - Cayman Islands Monetary Authority"
"965287","59648","Cayman Islands - Cayman Islands Monetary Authority"
"964047","66176","Guernsey - Guernsey Financial Services Commission"
"964047","66202","Guernsey - Guernsey Financial Services Commission"
"964047","66201","Guernsey - Guernsey Financial Services Commission"
"964047","54308","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"964047","65683","Cayman Islands - Cayman Islands Monetary Authority"
"964047","25558","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"965009","40623","Mauritius, Republic of - Financial Services Commission"
"965009","40408","Other - CAYMAN ISLANDS -- MONETARY AUTHORITY OF THE CAYMEN ISLANDS"
"965009","41283","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"965009","41224","Other - CAYMAN ISLANDS -- MONETARY AUTHORITY OF THE CAYMAN ISLANDS"
"965009","41189","Other - CAYMAN ISLANDS -- MONETARY AUTHORITY OF THE CAYMAN ISLANDS"
"946134","167529","Cayman Islands - Cayman Islands Monetary Authority"
"946134","167527","Cayman Islands - Cayman Islands Monetary Authority"
"946134","57975","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"946134","57974","Cayman Islands - Cayman Islands Monetary Authority"
"946134","57661","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"946134","48040","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"946134","48039","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"946134","64985","Cayman Islands - Cayman Islands Monetary Authority"
"964947","44101","Japan - Financial Services Agency"
"964947","44101","Cayman Islands - Cayman Islands Stock Exchange Authority"
"964947","52505","Cayman Islands - Cayman Islands Stock Exchange Authority"
"964947","44101","Australia - Australian Securities and Investments Commission"
"964947","44103","Cayman Islands - Cayman Islands Stock Exchange Authority"
"964822","67406","Cayman Islands - Cayman Islands Monetary Authority"
"964822","67410","Cayman Islands - Cayman Islands Monetary Authority"
"964822","67409","Cayman Islands - Cayman Islands Monetary Authority"
"964822","67399","Cayman Islands - Cayman Islands Monetary Authority"
"965691","36478","Cayman Islands - Cayman Islands Monetary Authority"
"955505","56493","Cayman Islands - Cayman Islands Monetary Authority"
"965859","23469","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"966097","41469","Other - MONACO"
"964832","58198","Cayman Islands - Cayman Islands Monetary Authority"
"964832","22704","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"964832","23302","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"966514","72521","Ireland -  Central Bank of Ireland"
"966514","25372","Cayman Islands - Cayman Islands Monetary Authority"
"966514","49353","Ireland -  Central Bank of Ireland"
