"FilingID","ReferenceID","SubreferenceID","Foreign Regulatory Authority"
1043227,11594,2682,"Cayman Islands - Cayman Islands Monetary Authority"
1043227,11666,2693,"Cayman Islands - Cayman Islands Monetary Authority"
1043227,47069,8555,"Cayman Islands - Cayman Islands Monetary Authority"
1043227,47070,8559,"Cayman Islands - Cayman Islands Monetary Authority"
1043227,179815,118257,"Cayman Islands - Cayman Islands Monetary Authority"
1042592,75336,46368,"Cayman Islands - Cayman Islands Monetary Authority"
1042592,26377,4839,"Cayman Islands - Cayman Islands Monetary Authority"
1027784,55192,117811,"Cayman Islands - Cayman Islands Monetary Authority"
1027784,24603,117812,"Cayman Islands - Cayman Islands Monetary Authority"
1027784,55192,12016,"Cayman Islands - Cayman Islands Monetary Authority"
1028239,2540,8191,"Cayman Islands - Cayman Islands Monetary Authority"
1028306,173580,117185,"Cayman Islands - Cayman Islands Monetary Authority"
1028306,173533,117177,"Cayman Islands - Cayman Islands Monetary Authority"
1028306,173570,117180,"Cayman Islands - Cayman Islands Monetary Authority"
1028306,173595,117191,"Cayman Islands - Cayman Islands Monetary Authority"
1028073,65187,13310,"Cayman Islands - Cayman Islands Monetary Authority"
1030188,61921,12577,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1030228,49061,118040,"Cayman Islands - Cayman Islands Monetary Authority"
1030758,70124,31382,"Cayman Islands - Cayman Islands Monetary Authority"
1032469,50691,9519,"Other - CAYMAN ISLAND MONETARY AUTHORITY"
1032469,57899,11672,"Cayman Islands - Cayman Islands Monetary Authority"
1033532,178880,118110,"Bermuda - Bermuda Monetary Authority"
1033532,178880,118112,"Bermuda - Bermuda Monetary Authority"
1027570,55234,10906,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1029182,19607,4153,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1029182,19621,4159,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1031744,9621,3541,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1031744,9632,3215,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1031744,45774,8260,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1031744,7488,2047,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1042574,34045,6306,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1042574,33943,6280,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1042574,53571,10502,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1042574,62755,12744,"Cayman Islands - Cayman Islands Monetary Authority"
1027470,63866,12955,"Cayman Islands - Cayman Islands Monetary Authority"
1032232,30289,5528,"Other - CAYMAN ISLANDS MONETARY AUTHORITY, CAYMAN ISLANDS"
1032232,30322,5530,"Other - CAYMAN ISLANDS MONETARY AUTHORITY, CAYMAN ISLANDS"
1035424,56986,11337,"Cayman Islands - Cayman Islands Monetary Authority"
1035424,56988,11342,"Cayman Islands - Cayman Islands Monetary Authority"
1035424,56988,11344,"Cayman Islands - Cayman Islands Monetary Authority"
1032619,45571,8197,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1032619,27223,5854,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1032619,27283,5857,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1032619,27305,5859,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1032619,27322,5865,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1032619,27322,5865,"Cayman Islands - Cayman Islands Monetary Authority"
1032619,27349,5867,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1032619,27412,5872,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1032619,27397,6425,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1032619,15739,5843,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1032619,26686,5840,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1032619,26682,5848,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1032619,46643,8434,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1032619,120372,83387,"Cayman Islands - Cayman Islands Monetary Authority"
1041294,56105,11108,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1041294,37198,6868,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1041294,37223,6880,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1041294,32035,6098,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1041294,36254,8767,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1041229,11302,9459,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1043320,16905,46409,"Cayman Islands - Cayman Islands Monetary Authority"
1043320,16905,117496,"Cayman Islands - Cayman Islands Monetary Authority"
1034480,60593,12242,"Cayman Islands - Cayman Islands Monetary Authority"
1031070,168157,116006,"Cayman Islands - Cayman Islands Monetary Authority"
1018846,28595,5264,"Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
1018846,28595,5264,"United Kingdom - Financial Conduct Authority"
1018846,28595,5264,"Switzerland - Swiss Financial Market Supervisory Authority"
1027254,3829,1411,"Cayman Islands - Cayman Islands Monetary Authority"
1027254,4646,1542,"Cayman Islands - Cayman Islands Monetary Authority"
1027254,3829,1410,"Cayman Islands - Cayman Islands Monetary Authority"
1027254,4636,2795,"Cayman Islands - Cayman Islands Monetary Authority"
1034044,178004,117998,"Cayman Islands - Cayman Islands Monetary Authority"
1034044,178005,118000,"Cayman Islands - Cayman Islands Monetary Authority"
1034333,170607,116685,"Cayman Islands - Cayman Islands Monetary Authority"
1034333,170611,116686,"Cayman Islands - Cayman Islands Monetary Authority"
1034333,170611,116687,"Cayman Islands - Cayman Islands Monetary Authority"
1034856,55872,13966,"Cayman Islands - Cayman Islands Monetary Authority"
1037110,28609,5248,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1037110,28712,5274,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1037110,30779,12792,"Cayman Islands - Cayman Islands Monetary Authority"
1037110,28679,5269,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1037447,41041,7472,"Cayman Islands - Cayman Islands Monetary Authority"
1037447,179299,118185,"Cayman Islands - Cayman Islands Monetary Authority"
1028643,16674,3952,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1029167,55354,10913,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1029167,62482,12688,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1034506,70435,49412,"Singapore - Monetary Authority of Singapore"
1040619,170579,116677,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1026748,2540,8191,"Cayman Islands - Cayman Islands Monetary Authority"
1030889,56093,11107,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1027713,57595,11603,"Cayman Islands - Cayman Islands Monetary Authority"
1031901,35118,6513,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1031901,35118,6515,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1031901,37823,7008,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1031901,37899,7015,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1033540,15198,56365,"Cayman Islands - Cayman Islands Monetary Authority"
