"FilingID","Full Legal Name","CIK Number"
597464,"BANK OF NEW YORK MELLON CORPORATION",1390777
596603,"STIFEL FINANCIAL CORP.",720672
597186,"THE CHARLES SCHWAB CORPORATION",316709
597522,"AXA FINANCIAL, INC",888002
597522,"AXA EQUITABLE FINANCIAL SERVICES, LLC",1257148
597522,"AXA AMERICA HOLDINGS, INC",1333986
597571,"MERRILL LYNCH & CO., INC.",65100
597571,"BANK OF AMERICA CORPORATION",70858
596620,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
597591,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
596440,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
597117,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
589998,"JPMORGAN CHASE & CO.",19617
597024,"THE BANK OF NEW YORK MELLON CORPORATION(SUCCESSOR TO MERGER OF MELLON FINANCIAL CORPORATION & THE BANK OF NEW YORK COMPANY, INC)",1390777
595195,"GAMCO INVESTORS, INC.",1060349
597275,"VIRTUS INVESTMENT PARTNERS, INC.",883237
597663,"WELLS FARGO AND COMPANY",105598
597668,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
597040,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
594233,"LEGG MASON, INC.",704051
597713,"MERRILL LYNCH & CO., INC.",65100
597713,"BANK OF AMERICA CORPORATION",70858
589743,"WELLS FARGO & COMPANY",105598
597772,"LINCOLN NATIONAL CORPORATION",59558
597700,"FIFTH THIRD BANCORP",35527
597330,"CITIGROUP INC.",831001
597190,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
597775,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
597781,"SUSQUEHANNA BANCSHARES, INC.",700863
597780,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
593985,"THE HARTFORD FINANCIAL SERVICES GROUP, INC.",874766
597009,"THE HARTFORD FINANCIAL SERVICES GROUP, INC.",874766
597798,"THE HARTFORD FINANCIAL SERVICES GROUP, INC.",874766
597785,"TORONTO-DOMINION BANK",947263
596940,"FIFTH THIRD BANCORP",35527
597803,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
595879,"NORTHWEST FINANCIAL CORP",1053601
597809,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
597813,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
590601,"MERRILL LYNCH & CO., INC.",65100
590601,"BANK OF AMERICA CORPORATION",70858
597225,"M&T BANK CORPORATION",36270
597225,"WILMINGTON TRUST CORPORATION",872821
596497,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
596731,"M&T BANK CORPORATION",36270
596731,"WILMINGTON TRUST CORPORATION",872821
596890,"M&T BANK CORPORATION",36270
596890,"WILMINGTON TRUST CORPORATION",872821
597840,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
597856,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
592021,"INVESCO LIMITED",914208
596166,"TD AMERITRADE HOLDING CORPORATION",117343
597897,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
597903,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
597904,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
597911,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
596411,"THE DOW CHEMICAL COMPANY",29915
597932,"AON CORPORATION",315293
597953,"SWS GROUP, INC.",878520
597944,"SWS GROUP, INC.",878520
589879,"THE GOLDMAN SACHS GROUP, INC.",886982
598000,"TD AMERITRADE HOLDING CORPORATION",117343
598054,"WELLS FARGO AND COMPANY",105598
597641,"FORTRESS INVESTMENT GROUP LLC",1380393
597846,"FORTRESS INVESTMENT GROUP LLC",1380393
597857,"FORTRESS INVESTMENT GROUP LLC",1380393
598046,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
598070,"FORTRESS INVESTMENT GROUP LLC",1380393
598081,"FORTRESS INVESTMENT GROUP LLC",1380393
597077,"LEGG MASON, INC.",704051
598116,"THE BANK OF NEW YORK MELLON CORPORATION(SUCCESSOR TO MERGER OF MELLON FINANCIAL CORPORATION & THE BANK OF NEW YORK COMPANY, INC)",1390777
597586,"TD AMERITRADE HOLDING CORPORATION",1173431
598095,"FORTRESS INVESTMENT GROUP LLC",1380393
598143,"FORTRESS INVESTMENT GROUP LLC",1380393
598130,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
597099,"VIRTUS INVESTMENT PARTNERS, INC.",883237
597769,"WELLS FARGO & COMPANY",105598
591685,"MANULIFE FINANCIAL CORPORATION",1086888
596981,"THE HARTFORD FINANCIAL SERVICES GROUP, INC.",874766
594328,"INVESCO LTD",914208
598163,"INVESCO LTD",914208
597806,"TD AMERITRADE HOLDING CORPORATION",1173431
598158,"AMERICAN FINANCIAL GROUP, INC.",1042046
598184,"AMERICAN FINANCIAL GROUP, INC.",1042046
592919,"ALLIED IRISH BANKS, P.L.C.",850364
598164,"THE JONES FINANCIAL COMPANIES, L.L.L.P.",815917
597642,"DST SYSTEMS, INC.",714603
598220,"MERRILL LYNCH & CO., INC.",65100
598220,"BANK OF AMERICA CORPORATION",70858
598223,"AON CORPORATION",315293
598211,"AFFILIATED MANAGERS GROUP, INC.",1004434
598003,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
598224,"BANK OF NEW YORK MELLON CORPORATION",1390777
596248,"RAYMOND JAMES FINANCIAL",720005
598227,"MERRILL LYNCH & CO., INC.",65100
598227,"BANK OF AMERICA CORPORATION",70858
598249,"LEGG MASON, INC.",704051
592628,"RESOURCE AMERICA, INC.",83402
598253,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
598263,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
592579,"CARDINAL FINANCIAL CORPORATION",1060523
596814,"FIRST COMMONWEALTH FINANCIAL CORPORATION",712537
