"FilingID","Full Legal Name","CIK Number"
"1017132","THE BLACKSTONE GROUP L.P.","1393818"
"1013602","PRUDENTIAL PLC","1116578"
"1017241","EATON VANCE CORP.","350797"
"1017420","STIFEL FINANCIAL CORP.","720672"
"1009671","PEOPLE'S UNITED FINANCIAL, INC.","1086095"
"1017653","STIFEL FINANCIAL CORPORATION","720672"
"1017172","SPROTT INC.","1512920"
"1017580","THE BLACKSTONE GROUP L.P.","1393818"
"1017774","UMPQUA HOLDINGS CORP","1077771"
"1017876","COWEN GROUP INC.","1466538"
"1004698","DETUSCHE BANK AG","948046"
"1017944","ORIX CORPORATION","1070304"
"1017629","OPPENHEIMER HOLDINGS INC.","791963"
"1017709","MORNINGSTAR, INC.","1289419"
"1018026","DETUSCHE BANK AG","948046"
"1018078","BOSTON PRIVATE FINANCIAL HOLDINGS INC.","821127"
"1018250","LADENBURG THALMANN FINANCIAL SERVICES INC.","1029730"
"1016811","PRUDENTIAL FINANCIAL, INC.","1137774"
"1018352","WELLS FARGO AND COMPANY","105598"
"1018385","MANULIFE FINANCIAL CORPORATION","1086888"
"1018391","MANULIFE FINANCIAL CORPORATION","1086888"
"1017761","GREAT-WEST LIFE & ANNUITY INSURANCE COMPANY","744455"
"1018731","BANK OF AMERICA CORPORATION","70858"
"1018804","HP INC.","47217"
"1018879","SVB FINANCIAL GROUP","719739"
"1018978","S&P GLOBAL INC.","64040"
"1018817","STATE STREET CORPORATION","93751"
"1017419","APOLLO GLOBAL MANAGEMENT, LLC","1411494"
"1019233","PEOPLE'S UNITED FINANCIAL, INC.","1086095"
"1019163","AETNA INC.","1122304"
"986789","FRANKLIN RESOURCES, INC.","38777"
"1019321","AON CORPORATION","315293"
"1019247","FORTRESS INVESTMENT GROUP LLC","1380393"
"1019379","BANK OF MONTREAL","927971"
"1019431","BANK OF MONTREAL","927971"
"1018483","PRUDENTIAL PLC","1116578"
"1019636","BANK OF AMERICA CORPORATION","70858"
"1019649","THE BLACKSTONE GROUP L.P.","1393818"
"1019655","HORACE MANN EDUCATORS CORPORATION","850141"
"1019707","J.P. MORGAN TRUST COMPANY","1146033"
"1019760","OM ASSET MANAGEMENT PLC","1611702"
"1019779","FORTRESS INVESTMENT GROUP LLC","1380393"
"1019934","AON CORPORATION","315293"
"1019985","RAYMOND JAMES FINANCIAL, INC.","705"
"1015892","PRUDENTIAL FINANCIAL, INC.","1137774"
"1020083","LPL FINANCIAL HOLDINGS INC.","1397911"
"1019953","KEYCORP","91576"
"1019862","BLUCORA, INC.","1068875"
"1020087","CREDIT SUISSE GROUP AG","1159510"
"1020134","HORACE MANN EDUCATORS CORPORATION","850141"
"1020161","RCS CAPITAL CORPORATION","1568832"
"1020020","WELLESLEY BANCORP, INC.","1526952"
"1007913","ARES CAPITAL CORPORATION","1287750"
"1016750","THE JONES FINANCIAL COMPANIES, L.L.L.P.","815917"
"1020502","RCS CAPITAL HOLDINGS, LLC","1568832"
"1020503","RCS CAPITAL CORPORATION","1568832"
"1020286","CBRE GROUP, INC.","1138118"
"1019935","BROOKFIELD ASSET MANAGEMENT INC.","1001085"
"1020698","RCS CAPITAL CORPORATION","1568832"
"1020373","ROYAL BANK OF CANADA","1000275"
"1018018","PRUDENTIAL FINANCIAL INC","1137774"
"1020809","WELLS FARGO AND COMPANY","105598"
"1020796","WELLS FARGO AND COMPANY","105598"
"1014491","THE BANK OF NEW YORK MELLON CORPORATION","1390777"
"1009835","AFFILIATED MANAGERS GROUP INC.","1004434"
"1020450","BERKSHIRE HATHAWAY INC.","1067983"
"993213","OM ASSET MANAGEMENT PLC","1611702"
"1021088","BOK FINANCIAL CORPORATION","875357"
"1021113","LADENBURG THALMANN FINANCIAL SERVICES INC.","1029730"
"1019740","FEDERATED INVESTORS, INC.","1056288"
"1019032","MORNINGSTAR, INC.","1146203"
"1021304","NATIONAL AUSTRALIA BANK LIMITED","833029"
"1006936","OAKTREE CAPITAL GROUP, LLC","1403528"
"1021539","THE PNC FINANCIAL SERVICES GROUP, INC.","713676"
"1021763","BOSTON PRIVATE FINANCIAL HOLDINGS, INC.","821127"
"1020103","LADDER CAPITAL CORP","1577670"
"1021899","BANK OF MONTREAL","927971"
"1021519","CITIGROUP INC.","831001"
"1020833","LEGG MASON, INC. (USA)","704051"
"1020580","LEGG MASON, INC.","704051"
"1022125","WADDELL & REED FINANCIAL, INC.","1052100"
"1018310","NORTHSTAR ASSET MANAGEMENT GROUP INC.","1597503"
"1022156","AMERICAN INTERNATIONAL GROUP, INC.","5272"
"1022333","AMERICAN INTERNATIONAL GROUP INC","5272"
"1018738","BANK OF MONTREAL","927971"
"1018395","LEGG MASON, INC.","704051"
"1022367","UMB FINANCIAL CORPORATION","101382"
"1022244","METLIFE, INC.","1099219"
"1022626","DEUTSCHE BANK AG","948046"
"1022556","ALLY FINANCIAL, INC.","40729"
"993623","RAYMOND JAMES FINANCIAL, INC.","720005"
"1022286","ROYAL BANK OF CANADA","1000275"
"1022742","CHARLES SCHWAB & CO, INC.","316709"
