"FilingID","Representation 1","Representation 2"
54321,"Y","Y"
60510,"Y","Y"
61909,"Y","Y"
62082,"Y","Y"
53394,"Y","Y"
60589,"Y","Y"
62768,"Y","Y"
62660,"Y","Y"
62991,"Y","Y"
62409,"Y","Y"
63066,"Y","Y"
58555,"Y","Y"
63055,"Y","Y"
62118,"Y","Y"
63391,"Y","Y"
63529,"Y","Y"
63162,"Y","Y"
63600,"Y","Y"
63687,"Y","Y"
63789,"Y","Y"
59792,"Y","Y"
61727,"Y","Y"
59904,"Y","Y"
63575,"Y","Y"
63879,"Y","Y"
63564,"Y","Y"
62916,"Y","Y"
63610,"Y","Y"
64033,"Y","Y"
63361,"Y","Y"
58708,"Y","Y"
64262,"Y","Y"
64265,"Y","Y"
64464,"Y","Y"
64219,"Y","Y"
64783,"Y","Y"
64871,"Y","Y"
64840,"Y","Y"
64928,"Y","Y"
61984,"Y","Y"
64517,"Y","Y"
56887,"Y","Y"
64987,"Y","Y"
64915,"Y","Y"
63353,"Y","Y"
64896,"Y","Y"
65356,"Y","Y"
62357,"Y","Y"
62938,"Y","Y"
65695,"Y","Y"
64246,"Y","Y"
59317,"Y","Y"
61908,"Y","Y"
65774,"Y","Y"
60896,"Y","Y"
61402,"Y","Y"
60341,"Y","Y"
61976,"Y","Y"
61179,"Y","Y"
66074,"Y","Y"
66743,"Y","Y"
66830,"Y","Y"
66905,"Y","Y"
64969,"Y","Y"
64927,"Y","Y"
67066,"Y","Y"
64146,"Y","Y"
62942,"Y","Y"
66988,"Y","Y"
65762,"Y","Y"
64100,"Y","Y"
66155,"Y","Y"
67316,"Y","Y"
67224,"Y","Y"
67489,"Y","Y"
66281,"Y","Y"
66672,"Y","Y"
67544,"Y","Y"
67500,"Y","Y"
67834,"Y","Y"
65110,"Y","Y"
59500,"Y","Y"
67494,"Y","Y"
62369,"Y","Y"
68401,"Y","Y"
68429,"Y","Y"
67950,"Y","Y"
68377,"Y","Y"
67553,"Y","Y"
66795,"Y","Y"
68639,"Y","Y"
68679,"Y","Y"
67347,"Y","Y"
68933,"Y","Y"
68988,"Y","Y"
68494,"Y","Y"
69153,"Y","Y"
69238,"Y","Y"
66152,"Y","Y"
68949,"Y","Y"
68260,"Y","Y"
69436,"Y","Y"
69358,"Y","Y"
68013,"Y","Y"
69484,"Y","Y"
68481,"Y","Y"
69586,"Y","Y"
69539,"Y","Y"
69532,"Y","Y"
68879,"Y","Y"
68887,"Y","Y"
67759,"Y","Y"
67599,"Y","Y"
69921,"Y","Y"
69721,"Y","Y"
69970,"Y","Y"
66763,"Y","Y"
68615,"Y","Y"
70048,"Y","Y"
69977,"Y","Y"
69969,"Y","Y"
69972,"Y","Y"
70146,"Y","Y"
70221,"Y","Y"
70240,"Y","Y"
69981,"Y","Y"
69495,"Y","Y"
70334,"Y","Y"
68534,"Y","Y"
70424,"Y","Y"
64719,"Y","Y"
70644,"Y","Y"
70093,"Y","Y"
70927,"Y","Y"
70936,"Y","Y"
70250,"Y","Y"
69948,"Y","Y"
70422,"Y","Y"
71185,"Y","Y"
71306,"Y","Y"
71312,"Y","Y"
71311,"Y","Y"
71315,"Y","Y"
70890,"Y","Y"
70944,"Y","Y"
67650,"Y","Y"
67629,"Y","Y"
71019,"Y","Y"
70586,"Y","Y"
69019,"Y","Y"
69326,"Y","Y"
70666,"Y","Y"
71466,"Y","Y"
71464,"Y","Y"
71880,"Y","Y"
71063,"Y","Y"
71928,"Y","Y"
72026,"Y","Y"
72040,"Y","Y"
72072,"Y","Y"
72092,"Y","Y"
61029,"Y","Y"
72094,"Y","Y"
71184,"Y","Y"
72399,"Y","Y"
72407,"Y","Y"
72446,"Y","Y"
72441,"Y","Y"
71024,"Y","Y"
69305,"Y","Y"
67382,"Y","Y"
70398,"Y","Y"
72603,"Y","Y"
72668,"Y","Y"
72784,"Y","Y"
70723,"Y","Y"
72212,"Y","Y"
72812,"Y","Y"
72959,"Y","Y"
73025,"Y","Y"
64151,"Y","Y"
73038,"Y","Y"
72989,"Y","Y"
73042,"Y","Y"
72578,"Y","Y"
73360,"Y","Y"
72899,"Y","Y"
73604,"Y","Y"
72218,"Y","Y"
70988,"Y","Y"
73030,"Y","Y"
74072,"Y","Y"
62232,"Y","Y"
73153,"Y","Y"
72880,"Y","Y"
73479,"Y","Y"
73084,"Y","Y"
72640,"Y","Y"
67045,"Y","Y"
74875,"Y","Y"
70551,"Y","Y"
74576,"Y","Y"
75175,"Y","Y"
75094,"Y","Y"
75424,"Y","Y"
75598,"Y","Y"
74982,"Y","Y"
74053,"Y","Y"
75742,"Y","Y"
73460,"Y","Y"
76010,"Y","Y"
75731,"Y","Y"
76238,"Y","Y"
72559,"Y","Y"
75038,"Y","Y"
74532,"Y","Y"
76527,"Y","Y"
75499,"Y","Y"
76592,"Y","Y"
76589,"Y","Y"
76605,"Y","Y"
75405,"Y","Y"
76895,"Y","Y"
76932,"Y","Y"
76629,"Y","Y"
74453,"Y","Y"
77000,"Y","Y"
77307,"Y","Y"
71901,"Y","Y"
76792,"Y","Y"
77152,"Y","Y"
78371,"Y","Y"
78403,"Y","Y"
76650,"Y","Y"
77542,"Y","Y"
78648,"Y","Y"
79134,"Y","Y"
78498,"Y","Y"
79303,"Y","Y"
79831,"Y","Y"
71406,"Y","Y"
78199,"Y","Y"
80740,"Y","Y"
78732,"Y","Y"
81254,"Y","Y"
76725,"Y","Y"
81069,"Y","Y"
81392,"Y","Y"
81171,"Y","Y"
73055,"Y","Y"
76456,"Y","Y"
79692,"Y","Y"
81999,"Y","Y"
73103,"Y","Y"
76657,"Y","Y"
82241,"Y","Y"
82325,"Y","Y"
82324,"Y","Y"
82492,"Y","Y"
82503,"Y","Y"
78984,"Y","Y"
82547,"Y","Y"
72617,"Y","Y"
79853,"Y","Y"
82668,"Y","Y"
79422,"Y","Y"
71366,"Y","Y"
82935,"Y","Y"
82131,"Y","Y"
78357,"Y","Y"
83128,"Y","Y"
83037,"Y","Y"
77284,"Y","Y"
83451,"Y","Y"
83360,"Y","Y"
83434,"Y","Y"
83527,"Y","Y"
83563,"Y","Y"
83469,"Y","Y"
69994,"Y","Y"
83647,"Y","Y"
83660,"Y","Y"
83368,"Y","Y"
81681,"Y","Y"
83722,"Y","Y"
83728,"Y","Y"
83789,"Y","Y"
83772,"Y","Y"
83771,"Y","Y"
83908,"Y","Y"
82485,"Y","Y"
84020,"Y","Y"
83624,"Y","Y"
84248,"Y","Y"
79559,"Y","Y"
84171,"Y","Y"
84428,"Y","Y"
84466,"Y","Y"
70756,"Y","Y"
83746,"Y","Y"
83559,"Y","Y"
84301,"Y","Y"
84652,"Y","Y"
84716,"Y","Y"
83544,"Y","Y"
