"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
"971748","23637","FIDELITY INVESTMENTS INSTITUTIONAL SERVICES COMPANY, INC.","8-35097","17507","SMITHFIELD","Rhode Island","United States","Y"
"971916","37168","MORGAN STANLEY & CO. INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"971916","37168","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"971916","64209","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"971916","64209","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"971916","64209","UBS AG","","","LONDON","","United Kingdom","Y"
"971916","64209","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"971916","64209","MORGAN STANLEY & CO INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"971916","37168","HSBC BANK PLC","","","LONDON","","United Kingdom","Y"
"971916","37168","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"971916","37168","MORGAN STANLEY & CO LLC","","","NEW YORK","New York","United States","Y"
"971916","64209","BARCLAYS CAPITAL INC.","","","NEW YORK","New York","United States","Y"
"971916","37168","BARCLAYS CAPITAL INC.","","","NEW YORK","New York","United States","Y"
"971916","64209","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"971916","37168","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"971916","64209","JP MORGAN SECURITIES PLC","","","LONDON","","United Kingdom","Y"
"971916","64209","HSBC BANK PLC","","","LONDON","","United Kingdom","Y"
"973732","37168","MORGAN STANLEY & CO. INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"973732","37168","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"973732","64209","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"973732","64209","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"973732","64209","UBS AG","","","LONDON","","United Kingdom","Y"
