"FilingID","ReferenceID","SubreferenceID","Foreign  
Regulatory Authority"
"883129","48818","9015","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"883129","10087","9016","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"883129","7592","2065","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"883129","7774","2085","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"883129","7725","4001","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"883129","20947","4092","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"883129","11469","2666","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"883129","11523","2687","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"883129","6474","2710","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"883129","66251","13555","Cayman Islands - Cayman Islands Monetary Authority"
"889018","30827","5622","Bermuda - Bermuda Monetary Authority"
"890181","4987","1602","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY - CAYMAN ISLANDS"
"895721","45642","8334","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"895721","45642","8237","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"895721","45643","8238","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"895721","45643","8239","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"895721","45643","8335","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"895721","55217","10899","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"895721","55217","10902","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"895721","33903","6272","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"895742","41584","7535","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"895671","55977","11085","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"877801","1341","1059","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY (CIMA)"
"877801","1341","1058","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY (CIMA)"
"877801","1341","10226","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY (CIMA)"
"880043","31881","5815","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"880043","31937","5826","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"894900","19607","4153","British Virgin Islands - British Virgin Islands Financial Services Commission"
"894900","19621","4159","British Virgin Islands - British Virgin Islands Financial Services Commission"
"890057","19933","3891","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"890654","6757","1916","British Virgin Islands - British Virgin Islands Financial Services Commission"
"886589","1975","1148","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"891296","44801","8085","Cayman Islands - Cayman Islands Monetary Authority"
"891296","5531","1678","Cayman Islands - Cayman Islands Monetary Authority"
"891296","55395","10921","Cayman Islands - Cayman Islands Monetary Authority"
"884759","19438","3819","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"878711","8133","13977","Cayman Islands - Cayman Islands Monetary Authority"
"875934","7105","1988","Cayman Islands - Cayman Islands Monetary Authority"
"887480","63682","12904","Cayman Islands - Cayman Islands Monetary Authority"
"887480","63682","12903","Cayman Islands - Cayman Islands Monetary Authority"
"884457","19564","3846","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"884457","19564","3847","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"875727","64150","13015","Cayman Islands - Cayman Islands Monetary Authority"
"875727","64150","13016","Cayman Islands - Cayman Islands Monetary Authority"
"895924","5665","1717","Other  
- THE CAYMAN ISLANDS FUNDS SET FORTH IN THIS SECTION ARE SUBJECT TO THE SUPERVISION OF THE CAYMAN ISLANDS MONETARY AUTHORITY"
"895924","5665","1718","Other  
- THE FUND IS SUBJECT TO THE SUPERVISION OF THE CAYMAN ISLANDS MONETARY AUTHORITY"
"895924","5665","1719","Other  
- THE MASTER FUND SET FORTH IN THIS SECTION IS REGISTERED WITH THE CAYMAN ISLANDS MONETARY AUTHORITY"
"884981","40303","7359","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"884981","40303","7355","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"880232","56447","11181","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY (""CIMA"")"
"884571","4781","1578","British Virgin Islands - British Virgin Islands Financial Services Commission"
"887406","26573","4897","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"885083","47322","8646","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"880869","2609","1271","Other  
- CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
"883145","55192","12016","Cayman Islands - Cayman Islands Monetary Authority"
"886908","2289","8535","British Virgin Islands - British Virgin Islands Financial Services Commission"
"888301","44140","11970","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"883238","55610","10985","Cayman Islands - Cayman Islands Monetary Authority"
"883238","57717","11601","Cayman Islands - Cayman Islands Monetary Authority"
"890460","5269","1636","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"893477","59407","11990","Cayman Islands - Cayman Islands Monetary Authority"
"889349","31408","5715","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"889349","29372","5369","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"889441","8482","8315","Cayman Islands - Cayman Islands Monetary Authority"
"889441","8482","2210","Cayman Islands - Cayman Islands Monetary Authority"
"889441","8482","8317","Cayman Islands - Cayman Islands Monetary Authority"
"888193","63613","12878","Cayman Islands - Cayman Islands Monetary Authority"
"881698","45912","8295","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"874263","5635","1716","Cayman Islands - Cayman Islands Monetary Authority"
"893677","72460","24374","Cayman Islands - Cayman Islands Monetary Authority"
"886469","42533","7703","Other  
- CAYMAN ISLANDS / CAYMAN ISLANDS MONETARY AUTHORITY"
"886469","42004","7679","Other  
- CAYMAN ISLANDS: CAYMAN ISLANDS MONETARY AUTHORITY"
"895511","8902","2289","Cayman Islands - Cayman Islands Monetary Authority"
