"FilingID","Wrap Fee Program","Sponsor"
"869684","STAR DUAL CONTRACT","OPPENHEIMER"
"869684","SPA","MERRILL LYNCH"
"869684","MAC ELIGIBLE","UBS"
"869684","INVESTMENT MANAGEMENT SERVICES (IMS)","MORGAN STANLEY SMITH BARNEY"
"869684","ACCESS/SWP","UBS"
"869684","IAS","OPPENHEIMER"
"869684","UMA","MERRILL LYNCH"
"869684","MANAGED ACCOUNT MARKETPLACE","CHARLES SCHWAB"
"869684","CONSULTS","MERRILL LYNCH"
"869684","SA NETWORK","FIDELITY"
"861187","AMC PREMIER SEPERATELY MANAGED ACCOUNT PROGRAM","SUN TRUST INVESTMENT SERVICES, INC."
"861187","EDWARD JONES ADVISORY SOLUTIONS UNIFIED MANAGED ACCOUNT PROGRAM","EDWARD D. JONES & CO., L.P."
"861187","AMC PINNACLE UNIFIED MANAGED ACCOUNT PROGRAM","SUN TRUST INVESTMENT SERVICES, INC."
"861187","SELECTS PORTFOLIO SOLUTIONS PLATFORM (SPS)","MANAGED ACCOUNT ADVISORS LLC"
"861187","UNIFIED MANAGED ACCOUNT PROGRAM","MANAGED ACCOUNT ADVISORS LLC."
"861187","PERSONAL WEALTH PORTFOLIOS PROGRAM","LINSCO/PRIVATE LEDGER CORP."
"861187","CONSULTS PROGRAM","MANAGED ACCOUNT ADVISORS, LLC"
"861187","SELECT UMA","MORGAN STANLEY SMITH BARNEY LLC, AND CITIGROUP GLOBAL MARKETS INC."
"861187","FIDUCIARY SERVICES","MORGAN STANLEY SMITH BARNEY LLC, AND CITIGROUP GLOBAL MARKETS INC."
"861187","THIRD PARTY MODELS PROGRAM","ENVESTNET ASSET MANAGEMENT, INC."
"861187","MANAGED ACCOUNT ACCESS","CHARLES SCHWAB & CO., INC."
"861187","CO-SPONSORED SEPARATE ACCOUNT PROGRAM","LOCKWOOD ADVISORS, INC."
"861187","ENVESTNET PREMIER ASSET MANAGEMENT PROGRAM","ENVESTNET/ASSET MANAGEMENT, INC."
"861187","MANAGER SELECT PROGRAM","LINSCO/PRIVATE LEDGER CORP."
"861187","STIFEL MANAGED ASSETS PROGRAM","STIFEL NICOLAUS & COMPANY, INC."
"861187","SEPARATE ACCOUNT NETWORK","FIDELITY INVESTMENTS INSTITUTIONAL OPERATIONS CO., INC."
"861187","AMERIPRISE PREMIER PORTFOLIO SERVICES","AMERIPRISE FINANCIAL SERVICES, INC."
"861187","MANAGED ACCOUNT SELECT","CHARLES SCHWAB & CO., INC."
"861187","PERSHING MANAGED ACCOUNT SOLUTIONS","LOCKWOOD ADVISORS, INC."
"861187","INVESTMENT CONSULTING SERVICES PROGRAM","LADENBURG THALMANN ASSET MANAGEMENT"
