"FilingID","ReferenceID","SubreferenceID","Website Address"
"888114","56337","28232","WWW.ASSETMANAGEMENT.HSBC.COM/FR"
"888114","56337","28232","WWW.ASSETMANAGEMENT.HSBC.COM/BE"
"888114","56337","28232","WWW.ASSETMANAGEMENT.HSBC.COM/IT"
"888114","56337","28232","WWW.ASSETMANAGEMENT.HSBC.COM/NO"
"888114","56337","28232","WWW.ASSETMANAGEMENT.HSBC.COM/FI"
"888114","56337","28243","WWW.ASSETMANAGEMENT.HSBC.COM/HU"
"888114","56337","28243","WWW.ASSETMANAGEMENT.HSBC.COM/DE"
"888114","56337","28243","WWW.ASSETMANAGEMENT.HSBC.COM/CZ"
"888114","56337","28244","WWW.ASSETMANAGEMENT.HSBC.COM/AT"
"888114","56337","28247","WWW.EXPAT.HSBC.COM/1/2/JERSEYFUNDINVESTMENTS"
"888114","56337","28247","WWW.EXPAT.HSBC.COM/1/2/HSBC-EXPAT/WEALTH-MANAGEMENT/INVESTMENT-OPTIONS"
"888114","56337","28249","WWW.ASSETMANAGEMENT.HSBC.COM/SG"
"888114","56337","28250","WWW.ASSETMANAGEMENT.HSBC.COM/ES"
"888114","56337","28251","WWW.FUNDINFO.COM"
"888114","56337","28251","WWW.ASSETMANAGEMENT.HSBC.COM/CH"
"888114","56337","28252","WWW.ASSETMANAGEMENT.HSBC.COM.TW"
"888114","56337","28253","WWW.ASSETMANAGEMENT.HSBC.COM/UK/ADVISERS/GFC?FUNDID=HGIF033&SH=AC"
"888114","56337","28253","WWW.ASSETMANAGEMENT.HSBC.COM/UK/INSTITUTIONS/GFC?FUNDID=HGIF033&SH=IC"
"888114","56337","28270","WWW.EXPAT.HSBC.COM/1/2/HSBC-EXPAT/WEALTH-MANAGEMENT/INVESTMENT-OPTIONS"
"888114","56337","28270","WWW.EXPAT.HSBC.COM/1/2/JERSEYFUNDINVESTMENTS"
"888114","56337","29535","WWW.ASSETMANAGEMENT.HSBC.COM/JP"
"889319","10896","25459","WWW.TRIAGO.COM"
"889319","10896","25309","WWW.TRIAGO.COM"
"899582","3763","40667","HTTPS://WWW.CAISGROUP.COM/"
"900057","5594","2221","HTTP://WWW.PINNACLETRUSTPARTNERS.COM"
"900057","5596","2223","HTTP://WWW.PINNACLETRUSTPARTNERS.COM"
