"FilingID","Country/Authority"
"888917","United Kingdom - Financial Conduct Authority"
"885183","Cayman Islands - Cayman Islands Monetary Authority"
"898079","Canada - Alberta Securities Commission"
"898079","Canada - British Columbia Securities Commission"
"898079","Canada - Ontario Securities Commission"
"898079","Canada - Saskatchewan Financial Services Commission"
"898079","Canada - Quebec, Financial Markets Authority"
"898079","Canada - Manitoba Securities Commission"
"895815","United Kingdom - Financial Conduct Authority"
"884438","India - Securities and Exchange Board of India"
"884438","Singapore - Monetary Authority of Singapore"
"879211","Canada - Ontario Securities Commission"
"879211","Canada - Quebec, Financial Markets Authority"
"869316","India - Securities and Exchange Board of India"
"898219","Netherlands - The Netherlands Authority for the Financial Markets"
"884058","Canada - Ontario Securities Commission"
"884058","Canada - Saskatchewan Financial Services Commission"
"890648","Canada - British Columbia Securities Commission"
"890648","Canada - Ontario Securities Commission"
"890648","Canada - Nova Scotia Securities Commission"
"890648","Canada - Manitoba Securities Commission"
"890648","Canada - Alberta Securities Commission"
"890648","Canada - Quebec, Financial Markets Authority"
"890648","Canada - Saskatchewan Financial Services Commission"
"893814","Guernsey - Guernsey Financial Services Commission"
"885434","Canada - Manitoba Securities Commission"
"885434","Canada - Nova Scotia Securities Commission"
"885434","Canada - New Brunswick Securities Commission"
"885434","Canada - Ontario Securities Commission"
"885434","Canada - British Columbia Securities Commission"
"885434","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"885434","Canada - Saskatchewan Financial Services Commission"
"885434","Canada - Alberta Securities Commission"
"885434","Canada - Quebec, Financial Markets Authority"
"885177","Ireland -  Central Bank of Ireland"
"885177","United Kingdom - Financial Conduct Authority"
"885179","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"885179","Ireland -  Central Bank of Ireland"
"880704","Hong Kong - Securities and Futures Commission"
"880704","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"880704","Australia - Australian Securities and Investments Commission"
"860259","Hong Kong - Securities and Futures Commission"
"896413","Australia - Australian Securities and Investments Commission"
"887893","Other: CENTRAL BANK OF IRELAND - FINANCIAL INSTITUTIONS & FUNDS AUTHORISATION"
"877323","United Kingdom - Financial Conduct Authority"
"877323","Australia - Australian Securities and Investments Commission"
"877323","Canada - Ontario Securities Commission"
"896514","Hong Kong - Securities and Futures Commission"
"887410","Netherlands - The Netherlands Authority for the Financial Markets"
"887410","Other: DE NEDERLANDSCHE BANK (DUTCH CENTRAL BANK)"
"897525","Singapore - Monetary Authority of Singapore"
"897681","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"873292","Ireland -  Central Bank of Ireland"
"894699","United Kingdom - Financial Conduct Authority"
"898719","Egypt - Capital Market Authority"
"898734","Egypt - Capital Market Authority"
"886716","United Kingdom - Financial Conduct Authority"
"898749","Egypt - Capital Market Authority"
"883943","Ireland -  Central Bank of Ireland"
"882285","Canada - Ontario Securities Commission"
"882285","Australia - Australian Securities and Investments Commission"
"882285","Ireland -  Central Bank of Ireland"
"882285","Taiwan - Financial Supervisory Commission"
"882285","India - Securities and Exchange Board of India"
"882285","Canada - British Columbia Securities Commission"
"898758","United Kingdom - Financial Conduct Authority"
"891337","United Kingdom - Financial Conduct Authority"
"879566","United Kingdom - Financial Conduct Authority"
"890101","United Kingdom - Financial Conduct Authority"
"895693","Finland - Financial Supervision Authority"
"892396","Bermuda - Bermuda Monetary Authority"
"866628","United Kingdom - Financial Conduct Authority"
"866628","South Africa - Financial Services Board"
"898938","United Kingdom - Financial Conduct Authority"
"898938","South Africa - Financial Services Board"
"886492","Ireland -  Central Bank of Ireland"
"892437","Other: OAR-G / GSCGI SWITZERLAND"
"863802","Ireland -  Central Bank of Ireland"
"881356","Other: ORGANISMO DI AUTODISCPLINA DEI FIDUCIARI DEL CANTONE TICINO A SWISS SELF REGULTORY ORG. REGULATED BY FINMA"
"892126","United Kingdom - Financial Conduct Authority"
"891586","Uruguay - Central Bank of Uruguay"
"882963","Singapore - Monetary Authority of Singapore"
"886188","Ireland -  Central Bank of Ireland"
"887296","United Kingdom - Financial Conduct Authority"
"881721","Ireland -  Central Bank of Ireland"
"880214","Other: CENTRAL BANK OF IRELAND"
"880214","India - Securities and Exchange Board of India"
"880214","China, People's Republic of - China Securities Regulatory Commission "
"880214","Other: CHINA - STATE ADMINISTRATION OF FOREIGN EXCHANGE"
"882702","Canada - British Columbia Securities Commission"
"882702","Canada - Alberta Securities Commission"
"882702","Canada - Manitoba Securities Commission"
"882702","Canada - New Brunswick Securities Commission"
"882702","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"882702","Canada - Northwest Territories, Office of the Registrar of Securities"
"882702","Canada - Nova Scotia Securities Commission"
"882702","Canada - Nunavut, Registrar of Securities"
"882702","Canada - Ontario Securities Commission"
"882702","Canada - Prince Edward Island, Securities Office"
"882702","Canada - Quebec, Financial Markets Authority"
"882702","Canada - Saskatchewan Financial Services Commission"
"882702","Canada - Yukon Territories, Registrar of Securities"
"883830","Hong Kong - Securities and Futures Commission"
"882769","United Kingdom - Financial Conduct Authority"
"882769","Germany - German Federal Financial Supervisory Agency"
"899438","United Kingdom - Financial Conduct Authority"
"899438","Germany - German Federal Financial Supervisory Agency"
"899445","Other: CENTRAL BANK OF IRELAND"
"899445","India - Securities and Exchange Board of India"
"899445","China, People's Republic of - China Securities Regulatory Commission "
"899445","Other: CHINA - STATE ADMINISTRATION OF FOREIGN EXCHANGE"
"899454","Canada - British Columbia Securities Commission"
"899454","Canada - Alberta Securities Commission"
"899454","Canada - Manitoba Securities Commission"
"899454","Canada - New Brunswick Securities Commission"
"899454","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"899454","Canada - Northwest Territories, Office of the Registrar of Securities"
"899454","Canada - Nova Scotia Securities Commission"
"899454","Canada - Nunavut, Registrar of Securities"
"899454","Canada - Ontario Securities Commission"
"899454","Canada - Prince Edward Island, Securities Office"
"899454","Canada - Quebec, Financial Markets Authority"
"899454","Canada - Saskatchewan Financial Services Commission"
"899454","Canada - Yukon Territories, Registrar of Securities"
"889497","Canada - Ontario Securities Commission"
"887505","Canada - Quebec, Financial Markets Authority"
"887505","Canada - Ontario Securities Commission"
"887505","Canada - British Columbia Securities Commission"
"887505","Canada - Alberta Securities Commission"
"887505","Canada - Manitoba Securities Commission"
"887505","Canada - New Brunswick Securities Commission"
"887505","Canada - Nova Scotia Securities Commission"
"887505","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"887505","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"887505","Canada - Saskatchewan Financial Services Commission"
"893429","Canada - Ontario Securities Commission"
"893429","Canada - Alberta Securities Commission"
"893429","Canada - British Columbia Securities Commission"
"893429","Canada - Quebec, Financial Markets Authority"
"896288","Canada - Ontario Securities Commission"
"896288","Canada - British Columbia Securities Commission"
"891395","Other: UNITED KINGDOM - FINANCIAL CONDUCT AUTHORITY"
"884222","United Kingdom - Financial Conduct Authority"
"878068","United Kingdom - Financial Conduct Authority"
"878068","Ireland -  Central Bank of Ireland"
"878068","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"896223","Other: BELGIUM - FINANCIAL SERVICES AND MARKET AUTHORITY"
"888130","Other: UNITED KINGDOM - FINANCIAL CONDUCT AUTHORITY"
"888130","India - Securities and Exchange Board of India"
"888130","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"888130","Japan - Financial Services Agency"
"897003","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"895587","France - Financial Markets Authority"
"887291","United Kingdom - Financial Conduct Authority"
"899658","Canada - Ontario Securities Commission"
"899658","Ireland -  Central Bank of Ireland"
"899658","Canada - Quebec, Financial Markets Authority"
"899658","Canada - Alberta Securities Commission"
"879024","India - Securities and Exchange Board of India"
"894741","Hong Kong - Securities and Futures Commission"
"884465","British Virgin Islands - British Virgin Islands Financial Services Commission"
"884465","Hong Kong - Securities and Futures Commission"
"882664","Hong Kong - Securities and Futures Commission"
"882664","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"859987","Hong Kong - Securities and Futures Commission"
"859987","China, People's Republic of - China Securities Regulatory Commission "
"897509","Hong Kong - Securities and Futures Commission"
"894686","Japan - Financial Services Agency"
"877316","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"877316","Hong Kong - Securities and Futures Commission"
"896510","Hong Kong - Securities and Futures Commission"
"899881","United Kingdom - Financial Conduct Authority"
"895813","Other: THE CAYMAN ISLANDS MONETARY AUTHORITY"
"889201","Canada - British Columbia Securities Commission"
"889201","United Kingdom - Financial Conduct Authority"
"889201","Canada - Ontario Securities Commission"
"889201","Canada - Quebec, Financial Markets Authority"
"880376","Japan - Financial Services Agency"
"880377","Germany - German Federal Financial Supervisory Agency"
"880377","United Kingdom - Financial Conduct Authority"
"880377","Ireland -  Central Bank of Ireland"
"889878","China, People's Republic of - China Securities Regulatory Commission "
"889878","Hong Kong - Securities and Futures Commission"
"889878","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"880388","Canada - Alberta Securities Commission"
"880388","Canada - British Columbia Securities Commission"
"880388","Canada - Manitoba Securities Commission"
"880388","Canada - New Brunswick Securities Commission"
"880388","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"880388","Canada - Nova Scotia Securities Commission"
"880388","Canada - Ontario Securities Commission"
"880388","Canada - Quebec, Financial Markets Authority"
"880388","Canada - Saskatchewan Financial Services Commission"
"880396","Singapore - Monetary Authority of Singapore"
"869164","Ireland -  Central Bank of Ireland"
"869164","Netherlands - The Netherlands Authority for the Financial Markets"
"873513","Switzerland - Swiss Financial Market Supervisory Authority"
"899417","Ireland -  Central Bank of Ireland"
"898647","Hong Kong - Securities and Futures Commission"
"899991","Hong Kong - Securities and Futures Commission"
"889161","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"894038","Cayman Islands - Cayman Islands Monetary Authority"
"898025","Canada - Ontario Securities Commission"
"898025","Ireland -  Central Bank of Ireland"
"898025","Cayman Islands - Cayman Islands Monetary Authority"
"872675","India - Securities and Exchange Board of India"
"895609","Other: JAPAN - KANTO LOCAL FINANCE BUREAU"
"895609","Australia - Australian Securities and Investments Commission"
"875204","Ireland -  Central Bank of Ireland"
"875204","United Kingdom - Financial Conduct Authority"
"884285","Ireland -  Central Bank of Ireland"
"883527","Canada - Ontario Securities Commission"
"883527","Ireland -  Central Bank of Ireland"
"875200","Isle of Man - Financial Supervision Commission"
"892161","Other: THE FINANCIAL SUPERVISORY AUTHORITY OF NORWAY"
"892161","Ireland -  Central Bank of Ireland"
"889151","Cayman Islands - Cayman Islands Monetary Authority"
"889987","India - Securities and Exchange Board of India"
"889987","Ireland -  Central Bank of Ireland"
"897644","United Kingdom - Financial Conduct Authority"
"864908","Canada - Ontario Securities Commission"
"864908","Canada - Quebec, Financial Markets Authority"
"886791","Hong Kong - Securities and Futures Commission"
"887775","Netherlands - The Netherlands Authority for the Financial Markets"
"890904","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"893454","France - Financial Markets Authority"
"889273","Ireland -  Central Bank of Ireland"
"889273","United Kingdom - Financial Conduct Authority"
"887495","Ireland -  Central Bank of Ireland"
"887495","Canada - Alberta Securities Commission"
"887495","Canada - British Columbia Securities Commission"
"887495","Canada - Manitoba Securities Commission"
"887495","Canada - New Brunswick Securities Commission"
"887495","Canada - Prince Edward Island, Securities Office"
"887495","Canada - Quebec, Financial Markets Authority"
"887495","Canada - Saskatchewan Financial Services Commission"
"887495","Canada - Nova Scotia Securities Commission"
"887495","Canada - Ontario Securities Commission"
"887495","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"879523","Canada - Ontario Securities Commission"
"893926","Hong Kong - Securities and Futures Commission"
"874125","Jersey - Jersey Financial Services Commission"
"897625","Switzerland - Swiss Financial Market Supervisory Authority"
"869658","India - Securities and Exchange Board of India"
"897637","Mauritius, Republic of - Financial Services Commission"
"897637","India - Securities and Exchange Board of India"
"898785","Switzerland - Swiss Financial Market Supervisory Authority"
"875532","Singapore - Monetary Authority of Singapore"
"875532","United Kingdom - Financial Conduct Authority"
"872307","South Africa - Financial Services Board"
"872307","Netherlands - The Netherlands Authority for the Financial Markets"
"900278","Canada - Ontario Securities Commission"
"900315","Canada - Ontario Securities Commission"
"898135","Other: IRISH FINANCIAL SERVICES REGULATORY AUTHORITY"
"881788","British Virgin Islands - British Virgin Islands Financial Services Commission"
"863862","Cayman Islands - Cayman Islands Monetary Authority"
"875793","Canada - Manitoba Securities Commission"
"875793","Canada - Alberta Securities Commission"
"875793","Canada - Ontario Securities Commission"
"875793","Canada - New Brunswick Securities Commission"
"875793","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"875793","Canada - Northwest Territories, Office of the Registrar of Securities"
"875793","Canada - Nova Scotia Securities Commission"
"875793","Canada - Nunavut, Registrar of Securities"
"875793","Canada - Prince Edward Island, Securities Office"
"875793","Canada - Quebec, Financial Markets Authority"
"875793","Canada - Saskatchewan Financial Services Commission"
"875793","Canada - Yukon Territories, Registrar of Securities"
"875793","Canada - British Columbia Securities Commission"
"896040","India - Securities and Exchange Board of India"
"896040","Canada - Alberta Securities Commission"
